state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
20562,200,-30541,0,0,0
20572,199,-30541,0,1,0
20582,199,-30541,1,5,0
20592,200,-30541,1,-1,0
20602,200,-30541,2,2,0
20612,200,-30542,2,-2,0
20622,200,-30542,0,-2,0
20632,200,-30541,1,5,0
20642,200,-30541,0,-1,0
20652,200,-30541,0,-6,0
20662,200,-30542,0,-1,0
20672,201,-30542,1,0,0
20682,202,-30542,0,-2,0
20692,199,-30542,0,-3,0
20702,200,-30542,0,0,0
20712,200,-30543,2,-8,0
20722,198,-30541,1,6,0
20732,201,-30542,3,-5,0
20742,200,-30542,2,-1,0
20752,200,-30543,2,-3,0
20762,200,-30543,4,-2,0
20772,201,-30545,3,-4,0
20782,201,-30544,3,4,0
20792,201,-30546,0,-5,0
20802,200,-30545,0,0,0
20812,200,-30545,1,6,0
20822,200,-30545,0,-3,0
20832,199,-30546,0,0,0
20842,200,-30546,0,-3,0
20852,200,-30546,0,0,0
20862,200,-30545,1,3,0
20872,200,-30545,1,2,0
20882,200,-30546,1,-6,0
20892,202,-30544,0,0,0
20902,200,-30546,1,0,0
20912,202,-30545,3,3,0
20922,201,-30546,1,-3,0
20932,200,-30544,1,0,0
20942,201,-30545,-1,0,0
20952,201,-30545,-1,-3,0
20972,201,-30545,-1,4,0
20982,200,-30545,0,3,0
20992,201,-30547,0,-3,0
21002,201,-30545,0,-2,0
21012,201,-30545,1,4,0
21022,201,-30545,1,3,0
21032,201,-30546,0,-5,0
21042,202,-30545,0,0,0
21052,203,-30545,0,6,0
21062,202,-30545,1,10,0
21072,201,-30545,0,0,0
21082,202,-30545,-1,3,0
21092,203,-30545,0,-1,0
21102,202,-30545,-1,3,0
21112,202,-30546,2,0,0
21122,202,-30547,0,-14,0
21132,202,-30546,1,1,0
21142,203,-30545,0,-1,0
21152,202,-30546,-1,-5,0
21162,202,-30545,0,-1,0
21172,205,-30546,0,0,1
21182,201,-30546,0,2,0
21192,201,-30546,3,0,0
21202,205,-30545,-1,-2,0
21212,202,-30545,2,-1,0
21222,202,-30545,0,2,0
21232,200,-30546,-1,-7,0
21242,205,-30545,0,-1,0
21252,202,-30546,0,-1,0
21262,203,-30545,1,3,0
21272,203,-30546,1,-4,0
21282,205,-30547,0,-1,0
21292,207,-30545,1,2,0
21302,207,-30546,1,0,0
21312,209,-30545,1,3,0
21322,212,-30546,-1,0,0
21332,214,-30546,0,-3,0
21342,219,-30545,0,0,0
21352,221,-30546,2,1,0
21362,223,-30546,0,-3,0
21372,228,-30545,-1,-5,0
21382,230,-30547,0,-2,0
21392,232,-30546,0,0,0
21402,236,-30546,-1,-1,0
21412,236,-30545,3,-3,0
21422,238,-30546,0,0,0
21432,240,-30547,-1,-7,0
21442,245,-30546,1,0,0
21452,248,-30545,1,1,0
21462,252,-30545,2,-1,0
21472,256,-30545,0,-7,0
21482,258,-30546,0,-2,0
21492,262,-30547,1,-5,0
21502,267,-30546,0,-7,0
