state_time,ank_ang,mot_ang,mot_cur
11830,186,-30426,-1002
11840,187,-30426,-1003
11850,187,-30420,-781
11860,187,-30422,-809
11870,187,-30424,-802
11880,187,-30421,-799
11890,187,-30422,-798
11900,187,-30421,-803
11910,187,-30422,-800
11920,187,-30423,-799
11930,189,-30423,-801
11940,187,-30423,-800
11950,187,-30422,-800
11960,187,-30422,-801
11970,187,-30422,-802
11980,187,-30423,-805
11990,187,-30422,-801
12000,187,-30421,-798
12010,187,-30422,-799
12020,187,-30422,-799
12030,186,-30422,-797
12040,186,-30422,-804
12050,187,-30424,-803
12060,187,-30423,-796
12070,187,-30423,-799
12080,187,-30423,-801
12090,187,-30424,-801
12100,187,-30424,-802
12110,187,-30424,-805
12120,189,-30422,-797
12130,189,-30424,-805
12140,186,-30425,-802
12150,187,-30426,-799
12160,189,-30426,-802
12170,187,-30427,-800
12180,187,-30427,-802
12190,187,-30429,-801
12200,186,-30428,-802
12210,189,-30429,-801
12220,189,-30428,-797
12230,189,-30428,-802
12240,187,-30429,-803
12250,187,-30430,-801
12260,187,-30431,-799
12270,189,-30432,-799
12280,189,-30434,-799
12290,187,-30433,-802
12300,189,-30435,-801
12310,188,-30436,-800
12320,187,-30435,-800
12330,188,-30435,-801
12340,189,-30435,-802
12350,189,-30437,-801
12360,189,-30438,-798
12370,189,-30438,-800
12380,189,-30439,-794
12390,188,-30441,-804
12400,189,-30441,-802
12410,189,-30440,-801
12420,187,-30441,-798
12430,189,-30442,-801
12440,188,-30441,-802
12450,188,-30444,-801
12460,189,-30445,-799
12470,189,-30451,-803
12480,188,-30458,-798
12490,190,-30463,-802
12500,189,-30468,-802
12510,190,-30472,-802
12520,190,-30474,-798
12530,189,-30475,-802
12540,191,-30476,-802
12550,190,-30477,-802
12560,189,-30477,-803
12570,191,-30479,-799
12580,191,-30480,-800
12590,190,-30480,-800
12600,191,-30481,-800
12610,189,-30481,-799
12620,191,-30483,-797
12630,190,-30484,-802
12640,191,-30484,-799
12650,190,-30484,-800
12660,190,-30486,-800
12670,190,-30484,-801
12680,192,-30486,-800
12690,191,-30484,-801
12700,194,-30485,-802
12710,194,-30485,-800
12720,192,-30486,-799
12730,194,-30487,-799
12740,192,-30488,-800
12750,191,-30494,-802
12760,194,-30494,-801
12770,194,-30495,-802
12780,192,-30495,-801
12790,192,-30499,-800
12800,194,-30499,-801
12810,194,-30505,-801
12820,196,-30511,-801
12830,194,-30514,-800
12840,194,-30525,-792
12850,199,-30547,-800
12860,199,-30570,-801
12870,201,-30582,-800
12880,201,-30591,-798
12890,203,-30607,-786
12900,205,-30647,-792
12910,208,-30709,-793
12920,214,-30785,-789
12930,223,-30888,-775
12940,232,-31012,-796
12950,245,-31144,-819
12960,254,-31268,-816
12970,264,-31382,-815
12980,272,-31488,-781
12990,280,-31594,-798
13000,291,-31700,-793
13010,299,-31815,-803
13020,310,-31928,-816
13030,317,-32035,-803
13040,327,-32136,-784
13050,335,-32234,-813
13060,344,-32323,-790
13070,351,-32410,-804
13080,360,-32491,-808
13090,366,-32572,-796
13100,372,-32650,-808
13110,377,-32724,-797
13120,386,-32794,-800
13130,392,-32851,-799
13140,395,-32895,-814
13150,402,-32946,-796
13160,405,-32998,-801
13170,409,-33038,-796
13180,414,-33091,-798
13190,421,-33161,-802
13200,429,-33237,-795
13210,438,-33325,-806
13220,445,-33415,-796
13230,453,-33502,-799
13240,464,-33590,-812
13250,472,-33670,-803
13260,479,-33744,-791
13270,489,-33821,-818
13280,495,-33887,-795
13290,503,-33966,-809
13300,513,-34050,-781
13310,521,-34138,-802
13320,531,-34226,-801
13330,542,-34308,-783
13340,551,-34384,-829
13350,560,-34445,-793
13360,567,-34512,-794
13370,575,-34582,-793
13380,584,-34664,-783
13390,596,-34755,-812
13400,607,-34845,-798
13410,621,-34939,-788
13420,633,-35015,-816
13430,641,-35086,-808
13440,650,-35136,-815
13450,656,-35175,-796
13460,660,-35204,-798
13470,664,-35234,-809
13480,669,-35268,-779
13490,675,-35312,-801
13500,684,-35372,-805
13510,695,-35444,-787
13520,705,-35517,-801
13530,715,-35580,-800
13540,726,-35644,-800
13550,733,-35686,-796
13560,740,-35731,-805
13570,749,-35774,-802
13580,755,-35814,-804
13590,761,-35845,-807
13600,768,-35884,-789
13610,773,-35927,-796
13620,778,-35977,-795
13630,785,-36036,-804
13640,792,-36093,-807
13650,802,-36162,-797
13660,812,-36223,-813
13670,823,-36278,-797
13680,833,-36343,-814
13690,844,-36392,-797
13700,853,-36447,-800
13710,863,-36496,-801
13720,873,-36544,-800
13730,881,-36588,-804
13740,890,-36633,-803
13750,901,-36680,-804
13760,911,-36733,-785
13770,922,-36776,-797
13780,933,-36821,-807
13790,945,-36873,-806
13800,956,-36914,-802
13810,967,-36942,-807
13820,973,-36975,-793
13830,980,-36993,-800
13840,986,-37017,-788
13850,991,-37041,-807
13860,997,-37060,-796
13870,1003,-37076,-800
13880,1008,-37092,-807
13890,1011,-37101,-795
13900,1014,-37111,-798
13910,1017,-37120,-798
13920,1019,-37132,-799
13930,1025,-37149,-801
13940,1030,-37167,-801
13950,1038,-37186,-794
13960,1045,-37208,-799
13970,1051,-37223,-805
13980,1057,-37236,-796
13990,1061,-37251,-800
14000,1065,-37266,-802
14010,1071,-37281,-805
14020,1074,-37293,-800
14030,1079,-37303,-799
14040,1084,-37315,-804
14050,1088,-37332,-796
14060,1094,-37345,-803
14070,1100,-37357,-799
14080,1106,-37368,-798
14090,1112,-37384,-798
14100,1118,-37402,-802
14110,1125,-37417,-801
14120,1132,-37429,-800
14130,1137,-37443,-803
14140,1145,-37461,-798
14150,1155,-37476,-801
14160,1164,-37491,-800
14170,1174,-37505,-798
14180,1184,-37521,-803
14190,1192,-37532,-796
14200,1201,-37542,-807
14210,1207,-37549,-799
14220,1212,-37555,-801
14230,1218,-37560,-800
14240,1225,-37568,-799
14250,1233,-37575,-800
14260,1240,-37583,-795
14270,1249,-37589,-797
14280,1257,-37595,-800
14290,1264,-37597,-800
14300,1270,-37600,-799
14310,1275,-37600,-800
14320,1278,-37602,-800
14330,1281,-37603,-801
14340,1285,-37602,-796
14350,1287,-37605,-803
14360,1290,-37605,-802
14370,1292,-37604,-803
14380,1296,-37605,-798
14390,1299,-37605,-798
14400,1301,-37604,-800
14410,1307,-37605,-800
14420,1310,-37605,-799
14430,1316,-37605,-797
14440,1322,-37603,-796
14450,1328,-37603,-801
14460,1335,-37601,-800
14470,1343,-37598,-799
14480,1350,-37597,-799
