state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
17443,166,-30140,0,2,0
17453,168,-30141,1,-1,0
17463,166,-30141,2,4,0
17473,166,-30141,1,-1,0
17483,166,-30141,1,0,0
17493,166,-30140,1,0,0
17503,165,-30140,0,-1,0
17513,166,-30139,2,4,0
17523,166,-30141,0,-4,0
17533,166,-30140,0,2,0
17543,166,-30141,1,-1,0
17553,166,-30141,1,3,0
17563,166,-30141,2,-5,0
17573,166,-30142,0,-4,0
17583,166,-30143,2,-1,0
17593,166,-30141,0,0,0
17603,166,-30142,-1,-1,0
17613,165,-30142,0,-2,0
17623,166,-30142,0,-6,0
17633,166,-30142,1,1,0
17643,166,-30142,1,0,0
17653,166,-30142,0,0,0
17663,166,-30141,0,-1,0
17673,166,-30142,0,-1,0
17683,166,-30142,0,0,0
17693,166,-30142,1,0,0
17703,166,-30142,0,5,0
17713,166,-30142,1,-1,0
17723,166,-30142,0,-5,0
17733,166,-30141,0,1,0
17743,166,-30141,0,1,0
17753,166,-30143,0,0,0
17763,168,-30142,0,0,0
17773,166,-30142,-1,1,0
17783,166,-30142,0,1,0
17793,166,-30142,1,6,0
17803,166,-30144,2,-4,0
17813,165,-30143,1,0,0
17823,165,-30143,2,0,0
17833,165,-30143,1,0,0
17843,166,-30143,1,1,0
17853,167,-30143,1,1,0
17863,165,-30143,0,-3,0
17873,169,-30143,1,0,0
17883,166,-30144,3,-5,0
17893,166,-30144,-1,-3,0
17903,166,-30142,1,0,0
17913,166,-30142,0,3,0
17923,166,-30143,1,-1,0
17933,166,-30143,1,1,0
17943,166,-30142,1,3,0
17953,169,-30144,0,-4,0
17963,167,-30143,-1,1,0
17973,169,-30144,1,-3,0
17983,169,-30144,0,0,0
17993,167,-30143,2,3,0
18003,167,-30144,0,-1,0
18013,169,-30145,0,-3,0
18023,169,-30143,0,6,0
18033,169,-30145,0,-2,0
18043,167,-30143,1,2,0
18053,167,-30143,-1,-5,0
18063,171,-30144,0,-6,0
18073,169,-30143,0,5,0
18083,171,-30144,0,-7,0
18093,174,-30143,1,-1,0
18103,176,-30145,1,-5,0
18113,178,-30144,-1,1,0
18123,176,-30143,0,7,0
18143,178,-30145,0,3,0
18153,177,-30145,-1,-1,0
18163,180,-30145,0,-1,0
18173,176,-30144,0,5,0
18183,179,-30145,0,-4,0
18193,179,-30144,0,-2,0
18203,179,-30144,0,-2,0
18213,180,-30145,0,0,0
18223,183,-30144,1,-3,1
18233,183,-30144,0,0,0
18243,183,-30144,0,7,0
18253,185,-30145,1,1,0
18263,185,-30144,0,-3,0
18273,185,-30144,1,-4,0
18283,187,-30144,0,1,0
18293,186,-30145,0,-4,0
18303,187,-30146,-1,-7,0
18313,187,-30144,0,2,0
18323,189,-30146,0,-3,0
18333,187,-30144,-1,3,0
18343,187,-30145,-1,1,0
18353,188,-30144,0,2,0
18363,187,-30144,0,3,0
18373,187,-30144,2,5,0
18383,187,-30144,1,3,0
18393,188,-30144,-1,0,0
18403,187,-30144,0,4,0
18413,187,-30144,0,3,0
18423,189,-30144,0,3,0
18433,188,-30145,1,-7,0
18443,188,-30144,0,2,0
18453,189,-30144,0,4,0
18463,195,-30143,0,6,0
18473,197,-30144,0,1,0
18483,206,-30145,1,0,1
18493,215,-30145,0,-5,0
18503,229,-30143,1,5,1
18513,240,-30144,2,4,1
18523,255,-30145,0,-6,1
18533,271,-30145,0,3,2
18543,286,-30144,0,0,1
18553,301,-30145,0,0,1
18563,311,-30144,-4,-4,0
18583,310,-30145,4,2,0
18593,306,-30144,-2,3,0
18603,302,-30145,2,-7,0
18613,298,-30144,2,0,0
18623,298,-30144,-1,4,0
18633,300,-30145,0,-3,0
18643,305,-30145,0,-6,0
18653,308,-30145,-1,4,0
18663,308,-30144,0,-1,0
18673,309,-30143,0,0,0
18683,308,-30144,1,1,0
18693,308,-30144,0,0,0
18703,308,-30144,0,6,0
18713,310,-30145,0,-1,0
18723,310,-30145,0,1,0
18733,310,-30146,1,0,0
18743,310,-30144,-2,2,0
18753,312,-30144,-1,5,0
18763,312,-30144,0,4,0
18773,318,-30144,-1,-1,0
18783,318,-30145,-1,1,0
18793,319,-30145,1,1,0
18803,320,-30146,0,-5,0
18813,322,-30145,-1,-3,0
18823,324,-30146,0,-5,0
18833,326,-30145,0,0,0
18843,328,-30145,0,0,0
18853,328,-30145,0,-1,0
18863,330,-30145,3,-8,0
18873,336,-30144,-2,4,0
18883,338,-30145,0,-6,0
18893,345,-30145,0,1,0
18903,349,-30145,0,-3,1
18913,351,-30144,0,-5,0
18923,355,-30145,0,5,0
18933,360,-30145,0,-1,0
18943,365,-30145,-1,-2,0
18953,371,-30144,-1,-1,0
18963,375,-30145,0,-3,0
18973,380,-30144,0,1,0
18983,384,-30144,0,-1,0
18993,390,-30145,-1,-2,0
19003,396,-30146,0,-3,0
19013,403,-30145,-1,-2,1
19023,405,-30145,-2,-5,0
19033,410,-30144,-1,1,0
19043,415,-30145,0,5,0
19053,418,-30146,0,-2,0
19063,421,-30144,1,2,0
19073,424,-30145,0,1,0
19083,430,-30144,1,4,0
19093,435,-30146,-1,-2,0
19103,439,-30145,0,0,0
19113,442,-30146,0,-5,0
19123,449,-30145,0,-1,1
19133,453,-30144,0,1,0
19143,460,-30145,0,0,0
19153,466,-30145,-1,-4,0
19163,473,-30145,-1,-3,1
19173,476,-30144,-1,5,0
19183,482,-30145,0,-2,0
19193,486,-30146,-1,-12,0
19203,494,-30143,0,9,1
19213,498,-30145,1,0,0
19223,505,-30145,0,0,0
19243,515,-30145,0,1,0
19253,522,-30145,0,1,1
19263,526,-30144,-1,1,0
19273,532,-30146,0,-5,0
19283,538,-30145,0,0,0
19293,544,-30145,-1,-2,0
19303,549,-30145,0,3,0
19313,553,-30145,0,3,0
19323,559,-30144,-1,0,0
19333,565,-30145,0,-3,0
19343,570,-30144,-1,-1,0
19353,572,-30144,-1,4,0
19363,577,-30144,0,1,0
19373,582,-30144,0,6,0
19383,586,-30143,0,5,0
19393,591,-30146,0,-3,0
19403,595,-30144,0,7,0
19413,598,-30145,-1,-3,0
19423,604,-30145,-1,6,0
19433,608,-30145,0,-7,0
19443,613,-30145,-1,-2,0
19453,617,-30145,0,-5,0
19463,619,-30145,0,-2,0
19473,625,-30145,-1,-3,0
19483,628,-30145,0,0,0
19493,631,-30145,-1,-4,0
19503,632,-30145,1,0,0
19513,633,-30144,0,6,0
19523,636,-30144,0,1,0
19533,640,-30145,0,3,0
19543,642,-30146,0,-6,0
19553,647,-30145,0,-1,0
19563,650,-30145,0,-2,0
19573,653,-30145,0,-1,0
19583,656,-30145,0,3,0
19593,661,-30145,0,2,0
19603,663,-30144,1,0,0
19613,668,-30145,0,3,0
19623,672,-30144,-2,4,0
19633,676,-30145,2,0,0
19643,684,-30145,0,3,0
19653,690,-30145,0,-1,0
19663,696,-30144,0,8,0
19673,701,-30145,0,-4,0
19683,708,-30144,0,-3,1
19693,713,-30145,0,-3,0
19703,721,-30144,-1,4,0
19713,730,-30144,-1,0,1
19723,737,-30144,0,3,0
19733,744,-30145,0,1,0
19743,755,-30145,0,0,1
19753,762,-30146,0,-7,1
19763,769,-30145,2,3,0
