state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
105304,25.3,10.3,51.3,-1,105305
106774,25.3,10.3,51.3,1470,1470
108084,25.3,10.3,51.3,1470,1310
109314,25.3,10.3,51.3,1310,1230
110424,25.3,10.3,51.3,1310,1110
111604,25.3,10.3,51.3,1230,1180
112814,25.3,10.3,51.3,1210,1210
114014,25.3,10.3,51.3,1200,1200
115184,25.3,10.3,51.3,1180,1170
116404,25.3,10.3,51.3,1200,1220
117564,25.3,10.3,51.3,1200,1160
118774,25.3,10.3,51.3,1200,1210
119934,25.3,10.3,51.3,1170,1160
121124,25.3,10.3,51.3,1190,1190
122324,25.3,10.3,51.3,1190,1200
123504,25.3,10.3,51.3,1190,1180
124654,25.3,10.3,51.3,1180,1150
125774,25.3,10.3,51.3,1180,1120
126904,25.3,10.3,51.3,1150,1130
128054,25.3,10.3,51.3,1150,1150
129204,25.3,10.3,51.3,1150,1150
130344,25.3,10.3,51.3,1140,1140
131474,25.3,10.3,51.3,1140,1130
132624,25.3,10.3,51.3,1150,1150
133804,25.3,10.3,51.3,1150,1180
134924,25.3,10.3,51.3,1140,1120
136054,25.3,10.3,51.3,1130,1130
137164,25.3,10.3,51.3,1130,1110
138294,25.3,10.3,51.3,1130,1130
139444,25.3,10.3,51.3,1130,1150
140584,25.3,10.3,51.3,1130,1140
141734,25.3,10.3,51.3,1140,1150
142874,25.3,10.3,51.3,1140,1140
144024,25.3,10.3,51.3,1150,1150
145174,25.3,10.3,51.3,1150,1150
146334,25.3,10.3,51.3,1150,1160
147474,25.3,10.3,51.3,1150,1140
148644,25.3,10.3,51.3,1150,1170
149794,25.3,10.3,51.3,1150,1150
150954,25.3,10.3,51.3,1160,1160
152124,25.3,10.3,51.3,1160,1170
153264,25.3,10.3,51.3,1160,1140
154424,25.3,10.3,51.3,1160,1160
155574,25.3,10.3,51.3,1160,1150
156734,25.3,10.3,51.3,1160,1160
157874,25.3,10.3,51.3,1150,1140
159014,25.3,10.3,51.3,1150,1140
160174,25.3,10.3,51.3,1150,1160
161314,25.3,10.3,51.3,1140,1140
162464,25.3,10.3,51.3,1140,1150
163594,25.3,10.3,51.3,1140,1130
164764,25.3,10.3,51.3,1150,1170
165914,25.3,10.3,51.3,1150,1150
167064,25.3,10.3,51.3,1150,1150
168194,25.3,10.3,51.3,1150,1130
169354,25.3,10.3,51.3,1150,1160
170504,25.3,10.3,51.3,1150,1150
171654,25.3,10.3,51.3,1150,1150
172784,25.3,10.3,51.3,1150,1130
173954,25.3,10.3,51.3,1150,1170
175124,25.3,10.3,51.3,1150,1170
176264,25.3,10.3,51.3,1150,1140
177414,25.3,10.3,51.3,1150,1150
178564,25.3,10.3,51.3,1150,1150
179734,25.3,10.3,51.3,1150,1170
180884,25.3,10.3,51.3,1150,1150
182034,25.3,10.3,51.3,1150,1150
183184,25.3,10.3,51.3,1150,1150
184384,25.3,10.3,51.3,1150,1200
185514,25.3,10.3,51.3,1150,1130
186684,25.3,10.3,51.3,1150,1170
187824,25.3,10.3,51.3,1150,1140
188954,25.3,10.3,51.3,1140,1130
190094,25.3,10.3,51.3,1140,1140
191254,25.3,10.3,51.3,1140,1160
192404,25.3,10.3,51.3,1140,1150
193554,25.3,10.3,51.3,1150,1150
