state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
112039,25.3,10.3,51.3,-1,112040
113569,25.3,10.3,51.3,1530,1530
114839,25.3,10.3,51.3,1530,1270
115989,25.3,10.3,51.3,1270,1150
117159,25.3,10.3,51.3,1270,1170
118299,25.3,10.3,51.3,1170,1140
119409,25.3,10.3,51.3,1150,1110
120509,25.3,10.3,51.3,1140,1100
121609,25.3,10.3,51.3,1110,1100
122709,25.3,10.3,51.3,1100,1100
123799,25.3,10.3,51.3,1100,1090
124879,25.3,10.3,51.3,1100,1080
125969,25.3,10.3,51.3,1090,1090
127049,25.3,10.3,51.3,1090,1080
128109,25.3,10.3,51.3,1080,1060
129199,25.3,10.3,51.3,1080,1090
130249,25.3,10.3,51.3,1080,1050
131329,25.3,10.3,51.3,1080,1080
132409,25.3,10.3,51.3,1080,1080
133479,25.3,10.3,51.3,1080,1070
134549,25.3,10.3,51.3,1070,1070
135619,25.3,10.3,51.3,1070,1070
136699,25.3,10.3,51.3,1070,1080
137789,25.3,10.3,51.3,1070,1090
138849,25.3,10.3,51.3,1070,1060
