state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
116984,25.3,10.3,51.3,-1,116985
118244,25.3,10.3,51.3,1260,1260
119324,25.3,10.3,51.3,1260,1080
120374,25.3,10.3,51.3,1080,1050
121404,25.3,10.3,51.3,1080,1030
122464,25.3,10.3,51.3,1060,1060
123544,25.3,10.3,51.3,1060,1080
124584,25.3,10.3,51.3,1050,1040
125664,25.3,10.3,51.3,1060,1080
126744,25.3,10.3,51.3,1080,1080
127844,25.3,10.3,51.3,1080,1100
128904,25.3,10.3,51.3,1080,1060
130014,25.3,10.3,51.3,1080,1110
131104,25.3,10.3,51.3,1090,1090
132224,25.3,10.3,51.3,1100,1120
133364,25.3,10.3,51.3,1110,1140
134474,25.3,10.3,51.3,1110,1110
135584,25.3,10.3,51.3,1110,1110
136734,25.3,10.3,51.3,1120,1150
137864,25.3,10.3,51.3,1130,1130
139034,25.3,10.3,51.3,1130,1170
140214,25.3,10.3,51.3,1150,1180
141334,25.3,10.3,51.3,1150,1120
142454,25.3,10.3,51.3,1130,1120
143584,25.3,10.3,51.3,1130,1130
144704,25.3,10.3,51.3,1120,1120
145844,25.3,10.3,51.3,1120,1140
146994,25.3,10.3,51.3,1130,1150
148104,25.3,10.3,51.3,1130,1110
149254,25.3,10.3,51.3,1140,1150
150334,25.3,10.3,51.3,1140,1080
151444,25.3,10.3,51.3,1110,1110
152574,25.3,10.3,51.3,1110,1130
153694,25.3,10.3,51.3,1120,1120
154804,25.3,10.3,51.3,1110,1110
155964,25.3,10.3,51.3,1120,1160
157074,25.3,10.3,51.3,1120,1110
158184,25.3,10.3,51.3,1110,1110
159334,25.3,10.3,51.3,1110,1150
160424,25.3,10.3,51.3,1110,1090
161554,25.3,10.3,51.3,1110,1130
162654,25.3,10.3,51.3,1110,1100
163794,25.3,10.3,51.3,1130,1140
164904,25.3,10.3,51.3,1110,1110
166014,25.3,10.3,51.3,1110,1110
167114,25.3,10.3,51.3,1110,1100
168284,25.3,10.3,51.3,1110,1170
169324,25.3,10.3,51.3,1110,1040
170434,25.3,10.3,51.3,1110,1110
171524,25.3,10.3,51.3,1100,1090
172594,25.3,10.3,51.3,1090,1070
173884,25.3,10.3,51.3,1090,1290
