state_time,experiment_type,t_peak,t_rise,t_fall,peak_tn,est_stride_dur,actual_stride_dur
235780,max,51.3,25.299999999999997,10.300000000000004,0.225,-1,235781
237020,max,51.3,25.299999999999997,10.300000000000004,0.225,1240,1240
238080,max,51.3,25.299999999999997,10.300000000000004,0.225,1240,1060
239070,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,990
240100,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1030
241160,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1060
242250,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1090
243310,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1060
244350,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1040
245420,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1070
246440,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1020
247520,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1080
248580,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1060
249630,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1050
250700,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1070
251770,max,51.3,25.299999999999997,10.300000000000004,0.225,1070,1070
252820,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1050
253880,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1060
254940,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1060
256010,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1070
257100,max,51.3,25.299999999999997,10.300000000000004,0.225,1060,1090
258190,max,51.3,25.299999999999997,10.300000000000004,0.225,1070,1090
259260,max,51.3,25.299999999999997,10.300000000000004,0.225,1070,1070
260360,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1100
261460,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1100
262540,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1080
263650,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1110
264720,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1070
265820,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1100
266910,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1090
267970,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1060
269040,max,51.3,25.299999999999997,10.300000000000004,0.225,1070,1070
270130,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1090
271200,max,51.3,25.299999999999997,10.300000000000004,0.225,1070,1070
272300,max,51.3,25.299999999999997,10.300000000000004,0.225,1070,1100
273400,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1100
274500,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1100
275600,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1100
276660,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1060
277780,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1120
278850,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1070
279980,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1130
281060,max,51.3,25.299999999999997,10.300000000000004,0.225,1080,1080
282150,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1090
283230,max,51.3,25.299999999999997,10.300000000000004,0.225,1080,1080
284330,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1100
285430,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1100
286480,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1050
287560,max,51.3,25.299999999999997,10.300000000000004,0.225,1080,1080
288660,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1100
289750,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1090
290850,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1100
291950,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1100
293020,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1070
294100,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1080
295180,max,51.3,25.299999999999997,10.300000000000004,0.225,1080,1080
296270,max,51.3,25.299999999999997,10.300000000000004,0.225,1080,1090
297360,max,51.3,25.299999999999997,10.300000000000004,0.225,1080,1090
298470,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1110
299550,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1080
300650,max,51.3,25.299999999999997,10.300000000000004,0.225,1090,1100
301750,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1100
302830,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1080
303960,max,51.3,25.299999999999997,10.300000000000004,0.225,1100,1130
