state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
213966,51.3,0.18,sav,A,1,1100,1060
215076,51.3,0.18,sav,A,2,1110,1110
216146,51.3,0.18,sav,A,3,1110,1070
217276,51.3,0.18,sav,A,4,1110,1130
218396,51.3,0.13,sav,B,1,1110,1120
219506,51.3,0.13,sav,B,2,1110,1110
220626,51.3,0.13,sav,B,3,1120,1120
221716,51.3,0.13,sav,B,4,1120,1090
222836,51.3,0.13,sav,B,5,1120,1120
236146,51.3,0.18,sav,A,1,1100,1090
237256,51.3,0.18,sav,A,1,1120,1120
238336,51.3,0.18,sav,A,2,1090,1080
239446,51.3,0.18,sav,A,3,1110,1110
240546,51.3,0.18,sav,A,4,1100,1100
241636,51.3,0.12000000000000001,sav,B,1,1100,1090
242726,51.3,0.12000000000000001,sav,B,2,1090,1090
243846,51.3,0.12000000000000001,sav,B,3,1100,1120
244936,51.3,0.12000000000000001,sav,B,4,1090,1090
246026,51.3,0.12000000000000001,sav,B,5,1090,1090
258296,51.3,0.18,sav,A,1,1100,1070
259356,51.3,0.18,sav,A,1,1100,1080
260476,51.3,0.18,sav,A,2,1100,1120
261606,51.3,0.18,sav,A,3,1100,1130
262706,51.3,0.18,sav,A,4,1100,1100
263776,51.3,0.18,sav,B,1,1100,1070
264876,51.3,0.18,sav,B,2,1100,1100
265966,51.3,0.18,sav,B,3,1100,1090
267056,51.3,0.18,sav,B,4,1090,1090
268186,51.3,0.18,sav,B,5,1090,1130
283906,51.3,0.13,sav,A,1,1140,1140
285046,51.3,0.13,sav,A,1,1140,1150
286136,51.3,0.13,sav,A,2,1140,1090
287266,51.3,0.13,sav,A,3,1130,1130
288376,51.3,0.13,sav,A,4,1130,1110
289476,51.3,0.18,sav,B,1,1110,1100
290576,51.3,0.18,sav,B,2,1100,1100
291666,51.3,0.18,sav,B,3,1100,1090
292796,51.3,0.18,sav,B,4,1100,1130
293906,51.3,0.18,sav,B,5,1100,1110
308516,51.3,0.12000000000000001,sav,A,1,1140,1150
309636,51.3,0.12000000000000001,sav,A,1,1130,1130
310776,51.3,0.12000000000000001,sav,A,2,1140,1140
311886,51.3,0.12000000000000001,sav,A,3,1140,1110
