state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
204392,51.3,0.18,sav,A,0,1110,1090
205472,51.3,0.18,sav,A,0,1110,1080
206572,51.3,0.18,sav,A,0,1100,1100
207672,51.3,0.18,sav,A,0,1100,1100
208782,51.3,0.18,sav,A,0,1100,1110
209882,51.3,0.13,sav,B,0,1100,1100
211012,51.3,0.13,sav,B,0,1100,1130
212122,51.3,0.13,sav,B,0,1110,1110
213232,51.3,0.13,sav,B,0,1110,1110
214352,51.3,0.13,sav,B,0,1110,1120
215452,51.3,0.13,sav,B,0,1110,1100
216572,51.3,0.13,sav,B,0,1110,1120
217682,51.3,0.13,sav,B,0,1110,1110
218802,51.3,0.13,sav,B,0,1120,1120
227092,51.3,0.18,sav,A,0,1100,1100
227662,51.3,0.18,sav,A,0,1100,1110
228772,51.3,0.18,sav,A,0,1110,1110
229862,51.3,0.18,sav,A,0,1100,1090
230952,51.3,0.18,sav,A,0,1100,1090
232062,51.3,0.18,sav,A,0,1110,1110
233132,51.3,0.12000000000000001,sav,B,0,1090,1070
234242,51.3,0.12000000000000001,sav,B,0,1090,1110
235332,51.3,0.12000000000000001,sav,B,0,1090,1090
236442,51.3,0.12000000000000001,sav,B,0,1110,1110
237552,51.3,0.12000000000000001,sav,B,0,1110,1110
238652,51.3,0.12000000000000001,sav,B,0,1110,1100
239802,51.3,0.12000000000000001,sav,B,0,1110,1150
249242,51.3,0.18,sav,A,0,1110,1080
249782,51.3,0.18,sav,A,0,1100,1090
250872,51.3,0.18,sav,A,0,1090,1090
251992,51.3,0.18,sav,A,0,1090,1120
253102,51.3,0.18,sav,A,0,1090,1110
254212,51.3,0.18,sav,A,0,1110,1110
255282,51.3,0.18,sav,B,0,1110,1070
256382,51.3,0.18,sav,B,0,1110,1100
257472,51.3,0.18,sav,B,0,1100,1090
258592,51.3,0.18,sav,B,0,1100,1120
259692,51.3,0.18,sav,B,0,1100,1100
260792,51.3,0.18,sav,B,0,1100,1100
261892,51.3,0.18,sav,B,0,1100,1100
263002,51.3,0.18,sav,B,0,1100,1110
264102,51.3,0.18,sav,B,0,1100,1100
265202,51.3,0.18,sav,B,0,1100,1100
274852,51.3,0.13,sav,A,0,1130,1130
275412,51.3,0.13,sav,A,0,1130,1130
276532,51.3,0.13,sav,A,0,1130,1120
277662,51.3,0.13,sav,A,0,1130,1130
278782,51.3,0.13,sav,A,0,1130,1120
279862,51.3,0.13,sav,A,0,1120,1080
280962,51.3,0.18,sav,B,0,1120,1100
282072,51.3,0.18,sav,B,0,1110,1110
283172,51.3,0.18,sav,B,0,1100,1100
284292,51.3,0.18,sav,B,0,1100,1120
285412,51.3,0.18,sav,B,0,1110,1120
286552,51.3,0.18,sav,B,0,1120,1140
287642,51.3,0.18,sav,B,0,1120,1090
288742,51.3,0.18,sav,B,0,1120,1100
289872,51.3,0.18,sav,B,0,1120,1130
299472,51.3,0.12000000000000001,sav,A,0,1130,1160
300022,51.3,0.12000000000000001,sav,A,0,1130,1130
301162,51.3,0.12000000000000001,sav,A,0,1130,1140
302272,51.3,0.12000000000000001,sav,A,0,1130,1110
303422,51.3,0.12000000000000001,sav,A,0,1140,1150
304552,51.3,0.12000000000000001,sav,A,0,1130,1130
305652,51.3,0.18,sav,B,0,1130,1100
306762,51.3,0.18,sav,B,0,1110,1110
307902,51.3,0.18,sav,B,0,1130,1140
309012,51.3,0.18,sav,B,0,1110,1110
310122,51.3,0.18,sav,B,0,1110,1110
311262,51.3,0.18,sav,B,0,1110,1140
312352,51.3,0.18,sav,B,0,1110,1090
313482,51.3,0.18,sav,B,0,1110,1130
321822,51.3,0.18,sav,A,0,1100,1090
322372,51.3,0.18,sav,A,0,1130,1130
323442,51.3,0.18,sav,A,0,1090,1070
324582,51.3,0.18,sav,A,0,1130,1140
325652,51.3,0.18,sav,A,0,1090,1070
326782,51.3,0.18,sav,A,0,1130,1130
327862,51.3,0.11000000000000001,sav,B,0,1080,1080
329002,51.3,0.11000000000000001,sav,B,0,1130,1140
330102,51.3,0.11000000000000001,sav,B,0,1100,1100
331222,51.3,0.11000000000000001,sav,B,0,1120,1120
332362,51.3,0.11000000000000001,sav,B,0,1120,1140
333512,51.3,0.11000000000000001,sav,B,0,1140,1150
334622,51.3,0.11000000000000001,sav,B,0,1120,1110
335792,51.3,0.11000000000000001,sav,B,0,1140,1170
344182,51.3,0.18,sav,A,0,1110,1150
344732,51.3,0.18,sav,A,0,1110,1100
345872,51.3,0.18,sav,A,0,1110,1140
346972,51.3,0.18,sav,A,0,1110,1100
348102,51.3,0.18,sav,A,0,1130,1130
349202,51.3,0.18,sav,A,0,1100,1100
350342,51.3,0.10000000000000002,sav,B,0,1130,1140
351452,51.3,0.10000000000000002,sav,B,0,1110,1110
352572,51.3,0.10000000000000002,sav,B,0,1120,1120
353702,51.3,0.10000000000000002,sav,B,0,1120,1130
354842,51.3,0.10000000000000002,sav,B,0,1130,1140
355962,51.3,0.10000000000000002,sav,B,0,1120,1120
365532,51.3,0.18,sav,A,0,1120,1120
366092,51.3,0.18,sav,A,0,1120,1130
367222,51.3,0.18,sav,A,0,1120,1130
368372,51.3,0.18,sav,A,0,1130,1150
369532,51.3,0.18,sav,A,0,1130,1160
370642,51.3,0.18,sav,A,0,1130,1110
371762,51.3,0.18,sav,B,0,1130,1120
372902,51.3,0.18,sav,B,0,1140,1140
374052,51.3,0.18,sav,B,0,1140,1150
375182,51.3,0.18,sav,B,0,1130,1130
376312,51.3,0.18,sav,B,0,1130,1130
377432,51.3,0.18,sav,B,0,1130,1120
385802,51.3,0.09000000000000002,sav,A,0,1110,1130
386342,51.3,0.09000000000000002,sav,A,0,1110,1090
387472,51.3,0.09000000000000002,sav,A,0,1110,1130
388562,51.3,0.09000000000000002,sav,A,0,1110,1090
389682,51.3,0.09000000000000002,sav,A,0,1120,1120
390782,51.3,0.09000000000000002,sav,A,0,1100,1100
391872,51.3,0.18,sav,B,0,1100,1090
392982,51.3,0.18,sav,B,0,1100,1110
394102,51.3,0.18,sav,B,0,1110,1120
395222,51.3,0.18,sav,B,0,1110,1120
396332,51.3,0.18,sav,B,0,1110,1110
397472,51.3,0.18,sav,B,0,1120,1140
405872,51.3,0.18,sav,A,0,1120,1120
406412,51.3,0.18,sav,A,0,1120,1120
407522,51.3,0.18,sav,A,0,1110,1110
408652,51.3,0.18,sav,A,0,1120,1130
409772,51.3,0.18,sav,A,0,1120,1120
410902,51.3,0.18,sav,A,0,1120,1130
412012,51.3,0.18,sav,B,0,1120,1110
413132,51.3,0.18,sav,B,0,1120,1120
414262,51.3,0.18,sav,B,0,1120,1130
415392,51.3,0.18,sav,B,0,1130,1130
416502,51.3,0.18,sav,B,0,1120,1110
417552,51.3,0.18,sav,B,0,1120,1050
418702,51.3,0.18,sav,B,0,1130,1150
427002,51.3,0.18,sav,A,0,1110,1110
427562,51.3,0.18,sav,A,0,1110,1090
428682,51.3,0.18,sav,A,0,1110,1120
429812,51.3,0.18,sav,A,0,1120,1130
430902,51.3,0.18,sav,A,0,1110,1090
432032,51.3,0.18,sav,A,0,1120,1130
433122,51.3,0.18,sav,B,0,1120,1090
434252,51.3,0.18,sav,B,0,1130,1130
435372,51.3,0.18,sav,B,0,1120,1120
436452,51.3,0.18,sav,B,0,1120,1080
437582,51.3,0.18,sav,B,0,1120,1130
438662,51.3,0.18,sav,B,0,1120,1080
439792,51.3,0.18,sav,B,0,1120,1130
440912,51.3,0.18,sav,B,0,1120,1120
442042,51.3,0.18,sav,B,0,1130,1130
451662,51.3,0.08000000000000003,sav,A,0,1130,1110
452212,51.3,0.08000000000000003,sav,A,0,1130,1140
453342,51.3,0.08000000000000003,sav,A,0,1130,1130
