Trial #,Sweep #,Delta,Approach,Experiment Type,Reference t_peak,Comparison t_peak,Reference peak_tn,Comparison peak_tn,Staircase Var,Reference Value,Comparison Value,t_rise_comp,t_fall_comp,Phase Order,Is Reversal,Response,Catch Trial
1,0,0.01,from_below,sav,51.3,51.3,0.18,0.13,peak_tn,0.18,0.13,25.299999999999997,10.300000000000004,ref_first,No,Same,No
2,0,0.01,from_below,sav,51.3,51.3,0.18,0.12000000000000001,peak_tn,0.18,0.12000000000000001,25.299999999999997,10.300000000000004,ref_first,Yes,Different,No
3,0,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
4,0,0.01,from_below,sav,51.3,51.3,0.18,0.13,peak_tn,0.18,0.13,25.299999999999997,10.300000000000004,comp_first,No,Same,No
5,0,0.01,from_below,sav,51.3,51.3,0.18,0.12000000000000001,peak_tn,0.18,0.12000000000000001,25.299999999999997,10.300000000000004,comp_first,No,Same,No
6,0,0.01,from_below,sav,51.3,51.3,0.18,0.11000000000000001,peak_tn,0.18,0.11000000000000001,25.299999999999997,10.300000000000004,ref_first,No,Same,No
7,0,0.01,from_below,sav,51.3,51.3,0.18,0.10000000000000002,peak_tn,0.18,0.10000000000000002,25.299999999999997,10.300000000000004,ref_first,No,Same,No
8,0,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,comp_first,No,Same,Yes
9,0,0.01,from_below,sav,51.3,51.3,0.18,0.09000000000000002,peak_tn,0.18,0.09000000000000002,25.299999999999997,10.300000000000004,comp_first,No,Same,No
10,0,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,ref_first,No,Different,Yes
11,0,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,ref_first,No,Different,Yes
12,0,0.01,from_below,sav,51.3,51.3,0.18,0.08000000000000003,peak_tn,0.18,0.08000000000000003,25.299999999999997,10.300000000000004,comp_first,No,Same,No
13,0,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
14,0,0.01,from_below,sav,51.3,51.3,0.18,0.07000000000000003,peak_tn,0.18,0.07000000000000003,25.299999999999997,10.300000000000004,ref_first,No,Same,No
15,0,0.01,from_below,sav,51.3,51.3,0.18,0.06000000000000003,peak_tn,0.18,0.06000000000000003,25.299999999999997,10.300000000000004,comp_first,Yes,Different,No
16,1,0.01,from_below,sav,51.3,51.3,0.18,0.07000000000000003,peak_tn,0.18,0.07000000000000003,25.299999999999997,10.300000000000004,comp_first,Yes,Same,No
17,1,0.01,from_below,sav,51.3,51.3,0.18,0.06000000000000003,peak_tn,0.18,0.06000000000000003,25.299999999999997,10.300000000000004,comp_first,No,Same,No
18,1,0.01,from_below,sav,51.3,51.3,0.18,0.05000000000000003,peak_tn,0.18,0.05000000000000003,25.299999999999997,10.300000000000004,ref_first,Yes,Different,No
19,1,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,ref_first,No,Different,Yes
20,1,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
21,1,0.01,from_below,sav,51.3,51.3,0.18,0.06000000000000003,peak_tn,0.18,0.06000000000000003,25.299999999999997,10.300000000000004,comp_first,No,Different,No
22,1,0.01,from_below,sav,51.3,51.3,0.18,0.07000000000000003,peak_tn,0.18,0.07000000000000003,25.299999999999997,10.300000000000004,ref_first,No,Different,No
23,1,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,comp_first,No,Same,Yes
24,1,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
25,1,0.01,from_below,sav,51.3,51.3,0.18,0.08000000000000003,peak_tn,0.18,0.08000000000000003,25.299999999999997,10.300000000000004,comp_first,No,Different,No
26,1,0.01,from_below,sav,51.3,51.3,0.18,0.09000000000000002,peak_tn,0.18,0.09000000000000002,25.299999999999997,10.300000000000004,comp_first,No,Different,No
27,1,0.01,from_below,sav,51.3,51.3,0.18,0.10000000000000002,peak_tn,0.18,0.10000000000000002,25.299999999999997,10.300000000000004,comp_first,No,Different,No
28,2,0.01,from_below,sav,51.3,51.3,0.18,0.11000000000000001,peak_tn,0.18,0.11000000000000001,25.299999999999997,10.300000000000004,ref_first,Yes,Same,No
29,2,0.01,from_below,sav,51.3,51.3,0.18,0.10000000000000002,peak_tn,0.18,0.10000000000000002,25.299999999999997,10.300000000000004,comp_first,No,Same,No
30,2,0.01,from_below,sav,51.3,51.3,0.18,0.09000000000000002,peak_tn,0.18,0.09000000000000002,25.299999999999997,10.300000000000004,comp_first,Yes,Different,No
31,3,0.01,from_below,sav,51.3,51.3,0.18,0.10000000000000002,peak_tn,0.18,0.10000000000000002,25.299999999999997,10.300000000000004,ref_first,Yes,Same,No
32,3,0.01,from_below,sav,51.3,51.3,0.18,0.09000000000000002,peak_tn,0.18,0.09000000000000002,25.299999999999997,10.300000000000004,comp_first,No,Same,No
33,3,0.01,from_below,sav,51.3,51.3,0.18,0.08000000000000003,peak_tn,0.18,0.08000000000000003,25.299999999999997,10.300000000000004,ref_first,Yes,Different,No
34,4,0.01,from_below,sav,51.3,51.3,0.18,0.09000000000000002,peak_tn,0.18,0.09000000000000002,25.299999999999997,10.300000000000004,ref_first,Yes,Same,No
35,4,0.01,from_below,sav,51.3,51.3,0.18,0.08000000000000003,peak_tn,0.18,0.08000000000000003,25.299999999999997,10.300000000000004,ref_first,No,Same,No
36,4,0.01,from_below,sav,51.3,51.3,0.18,0.07000000000000003,peak_tn,0.18,0.07000000000000003,25.299999999999997,10.300000000000004,ref_first,Yes,Different,No
37,4,0.01,from_below,sav,51.3,51.3,0.18,0.08000000000000003,peak_tn,0.18,0.08000000000000003,25.299999999999997,10.300000000000004,comp_first,No,Different,No
38,4,0.01,from_below,sav,51.3,51.3,0.18,0.09000000000000002,peak_tn,0.18,0.09000000000000002,25.299999999999997,10.300000000000004,comp_first,No,Different,No
39,4,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
40,4,0.01,from_below,sav,51.3,51.3,0.18,0.10000000000000002,peak_tn,0.18,0.10000000000000002,25.299999999999997,10.300000000000004,comp_first,No,Different,No
41,4,0.01,from_below,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,ref_first,No,Different,Yes
42,5,0.01,from_below,sav,51.3,51.3,0.18,0.11000000000000001,peak_tn,0.18,0.11000000000000001,25.299999999999997,10.300000000000004,comp_first,Yes,Same,No
43,5,0.01,from_below,sav,51.3,51.3,0.18,0.10000000000000002,peak_tn,0.18,0.10000000000000002,25.299999999999997,10.300000000000004,ref_first,No,Same,No
44,5,0.01,from_below,sav,51.3,51.3,0.18,0.09000000000000002,peak_tn,0.18,0.09000000000000002,25.299999999999997,10.300000000000004,ref_first,No,Same,No
45,5,0.01,from_below,sav,51.3,51.3,0.18,0.08000000000000003,peak_tn,0.18,0.08000000000000003,25.299999999999997,10.300000000000004,ref_first,No,Same,No
46,5,0.01,from_below,sav,51.3,51.3,0.18,0.07000000000000003,peak_tn,0.18,0.07000000000000003,25.299999999999997,10.300000000000004,ref_first,No,Same,No
47,5,0.01,from_below,sav,51.3,51.3,0.18,0.06000000000000003,peak_tn,0.18,0.06000000000000003,25.299999999999997,10.300000000000004,comp_first,Yes,Different,No
