side,side_sign,num_gait,state_time,t_rise,t_fall,t_peak,peak_torque_norm,est_stride_dur,actual_stride_dur
L,1,3,62521,25.3,10.3,51.3,0.08,1200,1200
R,-1,3,59609,25.3,10.3,51.3,0.08,1230,1190
L,1,4,63681,25.3,10.3,51.3,0.08,1160,1160
R,-1,4,60789,25.3,10.3,51.3,0.08,1190,1180
L,1,5,64831,25.3,10.3,51.3,0.08,1160,1150
R,-1,5,61949,25.3,10.3,51.3,0.08,1190,1160
L,1,6,66021,25.3,10.3,51.3,0.08,1160,1190
R,-1,6,63129,25.3,10.3,51.3,0.08,1180,1180
L,1,7,67171,25.3,10.3,51.3,0.08,1160,1150
R,-1,7,64289,25.3,10.3,51.3,0.08,1180,1160
L,1,8,68351,25.3,10.3,51.3,0.08,1160,1180
R,-1,8,65449,25.3,10.3,51.3,0.08,1160,1160
L,1,9,69551,25.3,10.3,51.3,0.08,1180,1200
R,-1,9,66659,25.3,10.3,51.3,0.08,1160,1210
L,1,10,70731,25.3,10.3,51.3,0.08,1180,1180
R,-1,10,67909,25.3,10.3,51.3,0.08,1180,1250
L,1,11,71981,25.3,10.3,51.3,0.08,1180,1250
R,-1,11,69069,25.3,10.3,51.3,0.08,1160,1160
L,1,12,73181,25.3,10.3,51.3,0.08,1200,1200
R,-1,12,70219,25.3,10.3,51.3,0.08,1160,1150
L,1,13,74301,25.3,10.3,51.3,0.08,1200,1120
R,-1,13,71329,25.3,10.3,51.3,0.08,1160,1110
L,1,14,75441,25.3,10.3,51.3,0.08,1180,1140
R,-1,14,72469,25.3,10.3,51.3,0.08,1150,1140
L,1,15,76601,25.3,10.3,51.3,0.08,1160,1160
R,-1,15,73639,25.3,10.3,51.3,0.08,1150,1170
R,-1,16,74729,25.3,10.3,51.3,0.08,1140,1090
L,1,16,78921,25.3,10.3,51.3,0.08,1160,2320
R,-1,17,75899,25.3,10.3,51.3,0.08,1140,1170
L,1,17,80001,25.3,10.3,51.3,0.08,1140,1080
R,-1,18,77089,25.3,10.3,51.3,0.08,1170,1190
L,1,18,81161,25.3,10.3,51.3,0.08,1140,1160
L,1,19,82301,25.3,10.3,51.3,0.08,1140,1140
R,-1,19,79449,25.3,10.3,51.3,0.08,1170,2360
L,1,20,83461,25.3,10.3,51.3,0.08,1160,1160
R,-1,20,80559,25.3,10.3,51.3,0.08,1170,1110
L,1,21,84631,25.3,10.3,51.3,0.08,1160,1170
R,-1,21,81729,25.3,10.3,51.3,0.08,1170,1170
L,1,22,85841,25.3,10.3,51.3,0.08,1160,1210
R,-1,22,82889,25.3,10.3,51.3,0.08,1170,1160
L,1,23,86961,25.3,10.3,51.3,0.08,1160,1120
R,-1,23,84069,25.3,10.3,51.3,0.08,1170,1180
L,1,24,88141,25.3,10.3,51.3,0.08,1170,1180
R,-1,24,85229,25.3,10.3,51.3,0.08,1160,1160
L,1,25,89311,25.3,10.3,51.3,0.08,1170,1170
R,-1,25,86339,25.3,10.3,51.3,0.08,1160,1110
L,1,26,90521,25.3,10.3,51.3,0.08,1180,1210
R,-1,26,87469,25.3,10.3,51.3,0.08,1160,1130
L,1,27,91681,25.3,10.3,51.3,0.08,1170,1160
R,-1,27,88669,25.3,10.3,51.3,0.08,1160,1200
L,1,28,92811,25.3,10.3,51.3,0.08,1170,1130
R,-1,28,89909,25.3,10.3,51.3,0.08,1160,1240
L,1,29,94001,25.3,10.3,51.3,0.08,1170,1190
R,-1,29,91099,25.3,10.3,51.3,0.08,1190,1190
L,1,30,95181,25.3,10.3,51.3,0.08,1180,1180
R,-1,30,92189,25.3,10.3,51.3,0.08,1190,1090
L,1,31,96401,25.3,10.3,51.3,0.08,1180,1220
R,-1,31,93379,25.3,10.3,51.3,0.08,1190,1190
L,1,32,97561,25.3,10.3,51.3,0.08,1180,1160
R,-1,32,94589,25.3,10.3,51.3,0.08,1190,1210
L,1,33,98601,25.3,10.3,51.3,0.08,1180,1040
R,-1,33,95699,25.3,10.3,51.3,0.08,1190,1110
L,1,34,99921,25.3,10.3,51.3,0.08,1180,1320
R,-1,34,96979,25.3,10.3,51.3,0.08,1190,1280
L,1,35,101131,25.3,10.3,51.3,0.08,1210,1210
