state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
37292,25.3,10.3,51.3,-1,37293
38652,25.3,10.3,51.3,1360,1360
39952,25.3,10.3,51.3,1360,1300
41132,25.3,10.3,51.3,1300,1180
42312,25.3,10.3,51.3,1300,1180
43512,25.3,10.3,51.3,1200,1200
44712,25.3,10.3,51.3,1200,1200
45932,25.3,10.3,51.3,1200,1220
47182,25.3,10.3,51.3,1200,1250
48412,25.3,10.3,51.3,1220,1230
49642,25.3,10.3,51.3,1230,1230
50882,25.3,10.3,51.3,1230,1240
52092,25.3,10.3,51.3,1230,1210
53322,25.3,10.3,51.3,1230,1230
54532,25.3,10.3,51.3,1230,1210
55752,25.3,10.3,51.3,1220,1220
56992,25.3,10.3,51.3,1220,1240
58202,25.3,10.3,51.3,1220,1210
59452,25.3,10.3,51.3,1220,1250
