state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
83370,54.3,0.225,max,A,1,1160,1160
84520,54.3,0.225,max,A,2,1160,1150
85670,54.3,0.225,max,A,3,1150,1150
86820,54.3,0.225,max,A,4,1150,1150
88000,51.3,0.225,max,B,1,1150,1180
89150,51.3,0.225,max,B,2,1150,1150
90330,51.3,0.225,max,B,3,1150,1180
91520,51.3,0.225,max,B,4,1180,1190
92680,51.3,0.225,max,B,5,1180,1160
106710,55.3,0.225,max,A,1,1170,1140
107860,55.3,0.225,max,A,1,1170,1170
109020,55.3,0.225,max,A,2,1160,1160
110150,55.3,0.225,max,A,3,1150,1130
111310,55.3,0.225,max,A,4,1160,1160
112470,51.3,0.225,max,B,1,1160,1160
113600,51.3,0.225,max,B,2,1160,1130
114760,51.3,0.225,max,B,3,1160,1160
115940,51.3,0.225,max,B,4,1160,1180
117100,51.3,0.225,max,B,5,1160,1160
132340,51.3,0.225,max,A,1,1160,1160
133500,51.3,0.225,max,A,1,1170,1170
134670,51.3,0.225,max,A,2,1170,1170
135820,51.3,0.225,max,A,3,1170,1150
137020,51.3,0.225,max,A,4,1170,1200
138190,54.3,0.225,max,B,1,1170,1170
139370,54.3,0.225,max,B,2,1170,1180
140510,54.3,0.225,max,B,3,1170,1140
141690,54.3,0.225,max,B,4,1180,1180
142840,54.3,0.225,max,B,5,1170,1150
155820,51.3,0.225,max,A,1,1180,1180
157000,51.3,0.225,max,A,1,1180,1190
158170,51.3,0.225,max,A,2,1180,1170
159350,51.3,0.225,max,A,3,1180,1180
160520,51.3,0.225,max,A,4,1180,1170
161720,53.3,0.225,max,B,1,1180,1200
162910,53.3,0.225,max,B,2,1180,1190
164060,53.3,0.225,max,B,3,1180,1150
165250,53.3,0.225,max,B,4,1190,1190
166420,53.3,0.225,max,B,5,1190,1170
179380,52.3,0.225,max,A,1,1180,1160
180570,52.3,0.225,max,A,1,1190,1200
181770,52.3,0.225,max,A,2,1200,1200
182940,52.3,0.225,max,A,3,1200,1170
184150,52.3,0.225,max,A,4,1200,1210
185320,51.3,0.225,max,B,1,1200,1170
186510,51.3,0.225,max,B,2,1190,1190
187700,51.3,0.225,max,B,3,1190,1190
188900,51.3,0.225,max,B,4,1190,1200
190090,51.3,0.225,max,B,5,1190,1190
202000,51.3,0.225,max,A,1,1180,1200
203170,51.3,0.225,max,A,1,1180,1180
204340,51.3,0.225,max,A,2,1180,1170
205520,51.3,0.225,max,A,3,1180,1180
206700,51.3,0.225,max,A,4,1180,1180
207890,51.3,0.225,max,B,1,1180,1190
209070,51.3,0.225,max,B,2,1180,1180
210260,51.3,0.225,max,B,3,1180,1190
211440,51.3,0.225,max,B,4,1180,1180
212620,51.3,0.225,max,B,5,1180,1180
224510,53.3,0.225,max,A,1,1180,1180
225690,53.3,0.225,max,A,1,1190,1190
226880,53.3,0.225,max,A,2,1190,1190
228040,53.3,0.225,max,A,3,1190,1160
229210,53.3,0.225,max,A,4,1180,1170
230380,51.3,0.225,max,B,1,1170,1170
231700,51.3,0.225,max,B,2,1170,1320
232740,51.3,0.225,max,B,3,1170,1040
233940,51.3,0.225,max,B,4,1170,1200
235130,51.3,0.225,max,B,5,1190,1190
248310,51.3,0.225,max,A,1,1190,1200
249480,51.3,0.225,max,A,1,1190,1180
250690,51.3,0.225,max,A,2,1190,1210
251880,51.3,0.225,max,A,3,1190,1190
253080,51.3,0.225,max,A,4,1200,1200
254280,51.3,0.225,max,B,1,1200,1200
255470,51.3,0.225,max,B,2,1200,1190
256670,51.3,0.225,max,B,3,1200,1200
257860,51.3,0.225,max,B,4,1200,1190
259060,51.3,0.225,max,B,5,1200,1200
271010,51.3,0.225,max,A,1,1190,1190
272200,51.3,0.225,max,A,1,1190,1200
273400,51.3,0.225,max,A,2,1200,1200
274610,51.3,0.225,max,A,3,1200,1210
275810,51.3,0.225,max,A,4,1200,1200
277010,52.3,0.225,max,B,1,1200,1200
278240,52.3,0.225,max,B,2,1200,1230
279420,52.3,0.225,max,B,3,1200,1180
280620,52.3,0.225,max,B,4,1200,1200
281760,52.3,0.225,max,B,5,1200,1140
294980,53.3,0.225,max,A,1,1200,1200
296180,53.3,0.225,max,A,1,1210,1210
297380,53.3,0.225,max,A,2,1210,1200
298600,53.3,0.225,max,A,3,1210,1220
299800,53.3,0.225,max,A,4,1200,1200
301020,51.3,0.225,max,B,1,1210,1220
302250,51.3,0.225,max,B,2,1220,1230
303470,51.3,0.225,max,B,3,1220,1220
304670,51.3,0.225,max,B,4,1220,1200
305900,51.3,0.225,max,B,5,1220,1230
318070,51.3,0.225,max,A,1,1220,1200
319240,51.3,0.225,max,A,1,1220,1180
320440,51.3,0.225,max,A,2,1200,1200
321640,51.3,0.225,max,A,3,1200,1200
322840,51.3,0.225,max,A,4,1200,1200
324050,54.3,0.225,max,B,1,1200,1210
325250,54.3,0.225,max,B,2,1200,1200
326450,54.3,0.225,max,B,3,1200,1200
327660,54.3,0.225,max,B,4,1200,1210
328880,54.3,0.225,max,B,5,1210,1220
342130,55.3,0.225,max,A,1,1200,1200
343340,55.3,0.225,max,A,1,1200,1220
344510,55.3,0.225,max,A,2,1200,1170
345690,55.3,0.225,max,A,3,1190,1180
346870,55.3,0.225,max,A,4,1180,1180
348070,51.3,0.225,max,B,1,1180,1200
349270,51.3,0.225,max,B,2,1180,1200
350480,51.3,0.225,max,B,3,1200,1210
351830,51.3,0.225,max,B,4,1200,1350
352880,51.3,0.225,max,B,5,1200,1050
366080,51.3,0.225,max,A,1,1200,1200
367260,51.3,0.225,max,A,1,1190,1190
368470,51.3,0.225,max,A,2,1190,1210
369650,51.3,0.225,max,A,3,1190,1180
370860,51.3,0.225,max,A,4,1200,1210
372080,51.3,0.225,max,B,1,1210,1220
373270,51.3,0.225,max,B,2,1210,1190
374470,51.3,0.225,max,B,3,1200,1200
375670,51.3,0.225,max,B,4,1200,1200
376860,51.3,0.225,max,B,5,1200,1190
390070,51.3,0.225,max,A,1,1190,1200
391260,51.3,0.225,max,A,1,1200,1200
392460,51.3,0.225,max,A,2,1200,1200
393670,51.3,0.225,max,A,3,1200,1210
394900,51.3,0.225,max,A,4,1200,1230
396100,51.3,0.225,max,B,1,1200,1200
397310,51.3,0.225,max,B,2,1210,1210
398500,51.3,0.225,max,B,3,1210,1190
399710,51.3,0.225,max,B,4,1210,1210
400930,51.3,0.225,max,B,5,1210,1220
414190,51.3,0.225,max,A,1,1200,1180
415390,51.3,0.225,max,A,1,1200,1210
416600,51.3,0.225,max,A,2,1210,1210
417790,51.3,0.225,max,A,3,1190,1190
419010,51.3,0.225,max,A,4,1210,1220
420220,54.3,0.225,max,B,1,1210,1210
421420,54.3,0.225,max,B,2,1210,1200
422650,54.3,0.225,max,B,3,1210,1230
423820,54.3,0.225,max,B,4,1210,1170
425040,54.3,0.225,max,B,5,1210,1220
438290,51.3,0.225,max,A,1,1200,1200
439500,51.3,0.225,max,A,1,1210,1220
440700,51.3,0.225,max,A,2,1200,1200
441870,51.3,0.225,max,A,3,1200,1170
443070,51.3,0.225,max,A,4,1200,1200
444270,51.3,0.225,max,B,1,1200,1200
445470,51.3,0.225,max,B,2,1200,1200
446660,51.3,0.225,max,B,3,1200,1190
447870,51.3,0.225,max,B,4,1200,1210
449090,51.3,0.225,max,B,5,1200,1220
462410,51.3,0.225,max,A,1,1220,1220
463610,51.3,0.225,max,A,1,1210,1210
464830,51.3,0.225,max,A,2,1220,1220
466020,51.3,0.225,max,A,3,1210,1190
467230,51.3,0.225,max,A,4,1210,1210
468420,53.3,0.225,max,B,1,1210,1190
469620,53.3,0.225,max,B,2,1200,1200
470810,53.3,0.225,max,B,3,1190,1190
472000,53.3,0.225,max,B,4,1190,1190
473220,53.3,0.225,max,B,5,1190,1220
488870,51.3,0.225,max,A,1,1210,1220
490070,51.3,0.225,max,A,1,1210,1210
491270,51.3,0.225,max,A,2,1210,1200
492500,51.3,0.225,max,A,3,1210,1230
493700,51.3,0.225,max,A,4,1210,1200
494910,51.3,0.225,max,B,1,1210,1210
496100,51.3,0.225,max,B,2,1200,1190
497320,51.3,0.225,max,B,3,1210,1220
498520,51.3,0.225,max,B,4,1200,1200
499730,51.3,0.225,max,B,5,1210,1210
512950,51.3,0.225,max,A,1,1200,1210
514150,51.3,0.225,max,A,1,1210,1210
515340,51.3,0.225,max,A,2,1210,1190
516530,51.3,0.225,max,A,3,1200,1190
517740,51.3,0.225,max,A,4,1210,1210
518940,52.3,0.225,max,B,1,1200,1200
520140,52.3,0.225,max,B,2,1200,1200
521340,52.3,0.225,max,B,3,1200,1200
522560,52.3,0.225,max,B,4,1200,1220
523760,52.3,0.225,max,B,5,1200,1200
536980,51.3,0.225,max,A,1,1190,1190
538160,51.3,0.225,max,A,1,1190,1190
539370,51.3,0.225,max,A,2,1190,1210
540570,51.3,0.225,max,A,3,1190,1200
541780,51.3,0.225,max,A,4,1200,1210
543000,51.3,0.225,max,B,1,1210,1220
544210,51.3,0.225,max,B,2,1210,1210
545410,51.3,0.225,max,B,3,1210,1200
546640,51.3,0.225,max,B,4,1210,1230
547850,51.3,0.225,max,B,5,1210,1210
562310,51.3,0.225,max,A,1,1200,1200
563520,51.3,0.225,max,A,1,1200,1220
564750,51.3,0.225,max,A,2,1220,1230
565970,51.3,0.225,max,A,3,1220,1220
567180,51.3,0.225,max,A,4,1220,1210
568390,51.3,0.225,max,B,1,1220,1210
569620,51.3,0.225,max,B,2,1220,1230
570830,51.3,0.225,max,B,3,1210,1210
572060,51.3,0.225,max,B,4,1210,1230
573280,51.3,0.225,max,B,5,1220,1220
586610,51.3,0.225,max,A,1,1210,1220
587860,51.3,0.225,max,A,1,1210,1260
589090,51.3,0.225,max,A,2,1220,1230
590270,51.3,0.225,max,A,3,1220,1180
591780,51.3,0.225,max,A,4,1230,1510
