state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
74388,54.3,0.225,max,A,0,1170,1180
75498,54.3,0.225,max,A,0,1170,1110
76678,54.3,0.225,max,A,0,1180,1180
77818,54.3,0.225,max,A,0,1180,1140
79008,54.3,0.225,max,A,0,1180,1190
80148,51.3,0.225,max,B,0,1140,1140
81318,51.3,0.225,max,B,0,1170,1170
82508,51.3,0.225,max,B,0,1170,1190
83688,51.3,0.225,max,B,0,1180,1180
84838,51.3,0.225,max,B,0,1170,1150
85988,51.3,0.225,max,B,0,1170,1150
87158,51.3,0.225,max,B,0,1170,1170
88328,51.3,0.225,max,B,0,1170,1170
98298,51.3,0.225,max,A,0,1160,1140
98858,55.3,0.225,max,A,0,1170,1170
100008,55.3,0.225,max,A,0,1160,1150
101178,55.3,0.225,max,A,0,1160,1170
102298,55.3,0.225,max,A,0,1150,1120
103498,55.3,0.225,max,A,0,1170,1200
104628,51.3,0.225,max,B,0,1150,1130
105768,51.3,0.225,max,B,0,1140,1140
106928,51.3,0.225,max,B,0,1140,1160
108098,51.3,0.225,max,B,0,1160,1170
109288,51.3,0.225,max,B,0,1160,1190
110438,51.3,0.225,max,B,0,1160,1150
111638,51.3,0.225,max,B,0,1170,1200
112808,51.3,0.225,max,B,0,1170,1170
113968,51.3,0.225,max,B,0,1170,1160
123928,51.3,0.225,max,A,0,1180,1180
124488,51.3,0.225,max,A,0,1170,1140
125658,51.3,0.225,max,A,0,1170,1170
126818,51.3,0.225,max,A,0,1170,1160
127998,51.3,0.225,max,A,0,1170,1180
129178,51.3,0.225,max,A,0,1170,1180
130368,54.3,0.225,max,B,0,1180,1190
131508,54.3,0.225,max,B,0,1180,1140
132698,54.3,0.225,max,B,0,1180,1190
133838,54.3,0.225,max,B,0,1180,1140
135018,54.3,0.225,max,B,0,1180,1180
136178,51.3,0.225,max,B,0,1160,1160
137348,51.3,0.225,max,B,0,1170,1170
147408,51.3,0.225,max,A,0,1190,1190
147988,51.3,0.225,max,A,0,1180,1180
149168,51.3,0.225,max,A,0,1180,1180
150348,51.3,0.225,max,A,0,1180,1180
151508,51.3,0.225,max,A,0,1180,1160
152698,51.3,0.225,max,A,0,1180,1190
153868,53.3,0.225,max,B,0,1180,1170
155048,53.3,0.225,max,B,0,1180,1180
156238,53.3,0.225,max,B,0,1180,1190
157418,53.3,0.225,max,B,0,1180,1180
158578,53.3,0.225,max,B,0,1180,1160
159748,51.3,0.225,max,B,0,1180,1170
160928,51.3,0.225,max,B,0,1180,1180
162098,51.3,0.225,max,B,0,1170,1170
170968,51.3,0.225,max,A,0,1180,1160
171548,52.3,0.225,max,A,0,1180,1180
172748,52.3,0.225,max,A,0,1180,1200
173938,52.3,0.225,max,A,0,1190,1190
175118,52.3,0.225,max,A,0,1180,1180
176308,52.3,0.225,max,A,0,1190,1190
177488,51.3,0.225,max,B,0,1190,1180
178688,51.3,0.225,max,B,0,1190,1200
179878,51.3,0.225,max,B,0,1190,1190
181068,51.3,0.225,max,B,0,1190,1190
182268,51.3,0.225,max,B,0,1190,1200
183448,51.3,0.225,max,B,0,1190,1180
184648,51.3,0.225,max,B,0,1190,1200
193598,51.3,0.225,max,A,0,1190,1190
194168,51.3,0.225,max,A,0,1190,1200
195348,51.3,0.225,max,A,0,1190,1180
196508,51.3,0.225,max,A,0,1190,1160
197698,51.3,0.225,max,A,0,1190,1190
198898,51.3,0.225,max,A,0,1190,1200
200058,51.3,0.225,max,B,0,1180,1160
201258,51.3,0.225,max,B,0,1190,1200
202438,51.3,0.225,max,B,0,1190,1180
203608,51.3,0.225,max,B,0,1180,1170
204788,51.3,0.225,max,B,0,1180,1180
205968,51.3,0.225,max,B,0,1180,1180
207168,51.3,0.225,max,B,0,1180,1200
216108,51.3,0.225,max,A,0,1190,1190
216708,53.3,0.225,max,A,0,1190,1210
217858,53.3,0.225,max,A,0,1190,1150
219078,53.3,0.225,max,A,0,1190,1220
220228,53.3,0.225,max,A,0,1190,1150
221388,53.3,0.225,max,A,0,1160,1160
222578,51.3,0.225,max,B,0,1160,1190
223778,51.3,0.225,max,B,0,1190,1200
224938,51.3,0.225,max,B,0,1160,1160
226148,51.3,0.225,max,B,0,1190,1210
227318,51.3,0.225,max,B,0,1190,1170
228518,51.3,0.225,max,B,0,1200,1200
229708,51.3,0.225,max,B,0,1190,1190
239898,51.3,0.225,max,A,0,1200,1200
240468,51.3,0.225,max,A,0,1190,1160
241668,51.3,0.225,max,A,0,1200,1200
242878,51.3,0.225,max,A,0,1200,1210
244068,51.3,0.225,max,A,0,1200,1190
245258,51.3,0.225,max,A,0,1190,1190
246448,51.3,0.225,max,B,0,1190,1190
247648,51.3,0.225,max,B,0,1190,1200
248848,51.3,0.225,max,B,0,1190,1200
250038,51.3,0.225,max,B,0,1190,1190
251248,51.3,0.225,max,B,0,1200,1210
252438,51.3,0.225,max,B,0,1200,1190
253638,51.3,0.225,max,B,0,1200,1200
262598,51.3,0.225,max,A,0,1190,1200
263178,51.3,0.225,max,A,0,1190,1190
264388,51.3,0.225,max,A,0,1190,1210
265588,51.3,0.225,max,A,0,1200,1200
266788,51.3,0.225,max,A,0,1200,1200
267988,51.3,0.225,max,A,0,1200,1200
269198,52.3,0.225,max,B,0,1200,1210
270398,52.3,0.225,max,B,0,1200,1200
271578,52.3,0.225,max,B,0,1200,1180
272768,52.3,0.225,max,B,0,1200,1190
273928,52.3,0.225,max,B,0,1190,1160
275138,51.3,0.225,max,B,0,1190,1210
276318,51.3,0.225,max,B,0,1180,1180
286578,51.3,0.225,max,A,0,1210,1190
287148,53.3,0.225,max,A,0,1210,1200
288358,53.3,0.225,max,A,0,1210,1210
289578,53.3,0.225,max,A,0,1210,1220
290808,53.3,0.225,max,A,0,1210,1230
291988,53.3,0.225,max,A,0,1210,1180
293228,51.3,0.225,max,B,0,1220,1240
294468,51.3,0.225,max,B,0,1230,1240
295668,51.3,0.225,max,B,0,1230,1200
296878,51.3,0.225,max,B,0,1210,1210
298098,51.3,0.225,max,B,0,1220,1220
299308,51.3,0.225,max,B,0,1210,1210
300528,51.3,0.225,max,B,0,1210,1220
309658,51.3,0.225,max,A,0,1220,1220
310228,51.3,0.225,max,A,0,1220,1180
311428,51.3,0.225,max,A,0,1200,1200
312618,51.3,0.225,max,A,0,1200,1190
313808,51.3,0.225,max,A,0,1190,1190
315028,51.3,0.225,max,A,0,1190,1220
316238,54.3,0.225,max,B,0,1200,1210
317438,54.3,0.225,max,B,0,1200,1200
318638,54.3,0.225,max,B,0,1200,1200
319848,54.3,0.225,max,B,0,1210,1210
321068,54.3,0.225,max,B,0,1210,1220
322268,51.3,0.225,max,B,0,1200,1200
323488,51.3,0.225,max,B,0,1210,1220
324688,51.3,0.225,max,B,0,1210,1200
333718,51.3,0.225,max,A,0,1200,1200
334308,55.3,0.225,max,A,0,1200,1200
335498,55.3,0.225,max,A,0,1200,1190
336688,55.3,0.225,max,A,0,1200,1190
337868,55.3,0.225,max,A,0,1190,1180
339068,55.3,0.225,max,A,0,1190,1200
340248,51.3,0.225,max,B,0,1190,1180
341458,51.3,0.225,max,B,0,1190,1210
342668,51.3,0.225,max,B,0,1200,1210
343878,51.3,0.225,max,B,0,1210,1210
345078,51.3,0.225,max,B,0,1210,1200
346278,51.3,0.225,max,B,0,1210,1200
347488,51.3,0.225,max,B,0,1210,1210
348688,51.3,0.225,max,B,0,1200,1200
357668,51.3,0.225,max,A,0,1200,1200
358258,51.3,0.225,max,A,0,1200,1200
359448,51.3,0.225,max,A,0,1200,1190
360638,51.3,0.225,max,A,0,1190,1190
361828,51.3,0.225,max,A,0,1190,1190
363058,51.3,0.225,max,A,0,1190,1230
364248,51.3,0.225,max,B,0,1190,1190
365448,51.3,0.225,max,B,0,1190,1200
366648,51.3,0.225,max,B,0,1200,1200
367858,51.3,0.225,max,B,0,1200,1210
369048,51.3,0.225,max,B,0,1200,1190
370258,51.3,0.225,max,B,0,1200,1210
371448,51.3,0.225,max,B,0,1200,1190
372658,51.3,0.225,max,B,0,1210,1210
381668,51.3,0.225,max,A,0,1190,1190
382248,51.3,0.225,max,A,0,1190,1210
383468,51.3,0.225,max,A,0,1190,1220
384638,51.3,0.225,max,A,0,1190,1170
385858,51.3,0.225,max,A,0,1210,1220
387078,51.3,0.225,max,A,0,1220,1220
388288,51.3,0.225,max,B,0,1220,1210
389488,51.3,0.225,max,B,0,1210,1200
390698,51.3,0.225,max,B,0,1210,1210
391898,51.3,0.225,max,B,0,1210,1200
393108,51.3,0.225,max,B,0,1210,1210
394328,51.3,0.225,max,B,0,1210,1220
395528,51.3,0.225,max,B,0,1210,1200
396728,51.3,0.225,max,B,0,1200,1200
405778,51.3,0.225,max,A,0,1200,1200
406378,51.3,0.225,max,A,0,1200,1200
407578,51.3,0.225,max,A,0,1200,1200
408778,51.3,0.225,max,A,0,1200,1200
409988,51.3,0.225,max,A,0,1200,1210
411188,51.3,0.225,max,A,0,1200,1200
412398,54.3,0.225,max,B,0,1200,1210
413598,54.3,0.225,max,B,0,1200,1200
414808,54.3,0.225,max,B,0,1210,1210
416018,54.3,0.225,max,B,0,1210,1210
417218,54.3,0.225,max,B,0,1210,1200
418408,51.3,0.225,max,B,0,1200,1190
419628,51.3,0.225,max,B,0,1210,1220
420838,51.3,0.225,max,B,0,1210,1210
429878,51.3,0.225,max,A,0,1210,1200
430468,51.3,0.225,max,A,0,1210,1200
431678,51.3,0.225,max,A,0,1210,1210
