Trial #,Sweep #,Delta,Approach,Experiment Type,Reference t_peak,Comparison t_peak,Reference peak_tn,Comparison peak_tn,Staircase Var,Reference Value,Comparison Value,t_rise_comp,t_fall_comp,Phase Order,Is Reversal,Response,Catch Trial
1,0,1.0,from_above,max,51.3,54.3,0.225,0.225,t_peak,51.3,54.3,28.299999999999997,7.300000000000004,comp_first,No,Same,No
2,0,1.0,from_above,max,51.3,55.3,0.225,0.225,t_peak,51.3,55.3,29.299999999999997,6.300000000000004,comp_first,Yes,Different,No
3,0,1.0,from_above,max,51.3,54.3,0.225,0.225,t_peak,51.3,54.3,28.299999999999997,7.300000000000004,ref_first,No,Different,No
4,0,1.0,from_above,max,51.3,53.3,0.225,0.225,t_peak,51.3,53.3,27.299999999999997,8.300000000000004,ref_first,No,Different,No
5,0,1.0,from_above,max,51.3,52.3,0.225,0.225,t_peak,51.3,52.3,26.299999999999997,9.300000000000004,comp_first,Yes,Same,No
6,0,1.0,from_above,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
7,1,1.0,from_above,max,51.3,53.3,0.225,0.225,t_peak,51.3,53.3,27.299999999999997,8.300000000000004,comp_first,Yes,Different,No
8,1,1.0,from_above,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
9,1,1.0,from_above,max,51.3,52.3,0.225,0.225,t_peak,51.3,52.3,26.299999999999997,9.300000000000004,ref_first,Yes,Same,No
10,1,1.0,from_above,max,51.3,53.3,0.225,0.225,t_peak,51.3,53.3,27.299999999999997,8.300000000000004,comp_first,No,Same,No
11,1,1.0,from_above,max,51.3,54.3,0.225,0.225,t_peak,51.3,54.3,28.299999999999997,7.300000000000004,ref_first,No,Same,No
12,2,1.0,from_above,max,51.3,55.3,0.225,0.225,t_peak,51.3,55.3,29.299999999999997,6.300000000000004,comp_first,Yes,Different,No
13,2,1.0,from_above,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
14,2,1.0,from_above,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Different,Yes
15,2,1.0,from_above,max,51.3,54.3,0.225,0.225,t_peak,51.3,54.3,28.299999999999997,7.300000000000004,ref_first,No,Different,No
16,2,1.0,from_above,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,comp_first,No,Same,Yes
17,2,1.0,from_above,max,51.3,53.3,0.225,0.225,t_peak,51.3,53.3,27.299999999999997,8.300000000000004,ref_first,No,Different,No
18,2,1.0,from_above,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,comp_first,No,Same,Yes
19,2,1.0,from_above,max,51.3,52.3,0.225,0.225,t_peak,51.3,52.3,26.299999999999997,9.300000000000004,ref_first,No,Different,No
20,2,1.0,from_above,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
21,2,1.0,from_above,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Different,No
