state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
81426,51.3,0.18,sav,A,1,1170,1190
82586,51.3,0.18,sav,A,2,1170,1160
83756,51.3,0.18,sav,A,3,1170,1170
84946,51.3,0.18,sav,A,4,1170,1190
86116,51.3,0.22999999999999998,sav,B,1,1170,1170
87276,51.3,0.22999999999999998,sav,B,2,1170,1160
88446,51.3,0.22999999999999998,sav,B,3,1170,1170
89616,51.3,0.22999999999999998,sav,B,4,1170,1170
90786,51.3,0.22999999999999998,sav,B,5,1170,1170
111866,51.3,0.18,sav,A,1,1170,1170
113026,51.3,0.18,sav,A,1,1170,1170
114206,51.3,0.18,sav,A,2,1170,1180
115386,51.3,0.18,sav,A,3,1180,1180
116566,51.3,0.18,sav,A,4,1180,1180
117736,51.3,0.21999999999999997,sav,B,1,1180,1170
118936,51.3,0.21999999999999997,sav,B,2,1180,1200
120076,51.3,0.21999999999999997,sav,B,3,1180,1140
121246,51.3,0.21999999999999997,sav,B,4,1170,1170
122406,51.3,0.21999999999999997,sav,B,5,1170,1160
143396,51.3,0.18,sav,A,1,1190,1200
144526,51.3,0.18,sav,A,1,1170,1140
145696,51.3,0.18,sav,A,2,1170,1170
146866,51.3,0.18,sav,A,3,1170,1170
148036,51.3,0.18,sav,A,4,1170,1170
149236,51.3,0.18,sav,B,1,1170,1200
150366,51.3,0.18,sav,B,2,1170,1130
151546,51.3,0.18,sav,B,3,1170,1180
152726,51.3,0.18,sav,B,4,1180,1180
153886,51.3,0.18,sav,B,5,1180,1160
176276,51.3,0.18,sav,A,1,1160,1160
177456,51.3,0.18,sav,A,1,1190,1190
178626,51.3,0.18,sav,A,2,1170,1170
179836,51.3,0.18,sav,A,3,1190,1210
181006,51.3,0.18,sav,A,4,1170,1170
182196,51.3,0.22999999999999998,sav,B,1,1190,1190
183386,51.3,0.22999999999999998,sav,B,2,1190,1190
184556,51.3,0.22999999999999998,sav,B,3,1190,1170
185736,51.3,0.22999999999999998,sav,B,4,1180,1180
186916,51.3,0.22999999999999998,sav,B,5,1180,1180
208306,51.3,0.21999999999999997,sav,A,1,1180,1200
209486,51.3,0.21999999999999997,sav,A,1,1180,1190
210666,51.3,0.21999999999999997,sav,A,2,1180,1180
211866,51.3,0.21999999999999997,sav,A,3,1190,1200
213016,51.3,0.21999999999999997,sav,A,4,1190,1150
214216,51.3,0.18,sav,B,1,1190,1200
215376,51.3,0.18,sav,B,2,1180,1160
216566,51.3,0.18,sav,B,3,1190,1190
217766,51.3,0.18,sav,B,4,1190,1200
218966,51.3,0.18,sav,B,5,1200,1200
238146,51.3,0.20999999999999996,sav,A,1,1210,1210
239356,51.3,0.20999999999999996,sav,A,1,1210,1220
240526,51.3,0.20999999999999996,sav,A,2,1210,1170
241726,51.3,0.20999999999999996,sav,A,3,1200,1200
242916,51.3,0.20999999999999996,sav,A,4,1200,1190
244116,51.3,0.18,sav,B,1,1200,1200
245316,51.3,0.18,sav,B,2,1200,1200
246516,51.3,0.18,sav,B,3,1200,1200
247736,51.3,0.18,sav,B,4,1200,1220
248906,51.3,0.18,sav,B,5,1200,1170
270676,51.3,0.18,sav,A,1,1210,1180
271886,51.3,0.18,sav,A,1,1210,1220
273096,51.3,0.18,sav,A,2,1210,1210
274296,51.3,0.18,sav,A,3,1210,1200
275496,51.3,0.18,sav,A,4,1200,1200
276656,51.3,0.21999999999999997,sav,B,1,1200,1160
277876,51.3,0.21999999999999997,sav,B,2,1200,1220
279066,51.3,0.21999999999999997,sav,B,3,1200,1190
280276,51.3,0.21999999999999997,sav,B,4,1200,1210
281476,51.3,0.21999999999999997,sav,B,5,1200,1200
300766,51.3,0.20999999999999996,sav,A,1,1200,1210
301976,51.3,0.20999999999999996,sav,A,1,1210,1220
303186,51.3,0.20999999999999996,sav,A,2,1210,1210
304396,51.3,0.20999999999999996,sav,A,3,1210,1210
305626,51.3,0.20999999999999996,sav,A,4,1210,1230
306836,51.3,0.18,sav,B,1,1210,1210
308036,51.3,0.18,sav,B,2,1210,1200
309266,51.3,0.18,sav,B,3,1210,1230
310486,51.3,0.18,sav,B,4,1220,1220
311696,51.3,0.18,sav,B,5,1210,1210
333576,51.3,0.18,sav,A,1,1210,1240
334776,51.3,0.18,sav,A,1,1210,1210
335986,51.3,0.18,sav,A,2,1210,1210
337216,51.3,0.18,sav,A,3,1210,1230
338436,51.3,0.18,sav,A,4,1220,1220
339676,51.3,0.21999999999999997,sav,B,1,1220,1240
340876,51.3,0.21999999999999997,sav,B,2,1220,1200
342076,51.3,0.21999999999999997,sav,B,3,1220,1200
343286,51.3,0.21999999999999997,sav,B,4,1210,1210
344496,51.3,0.21999999999999997,sav,B,5,1210,1210
367686,51.3,0.18,sav,A,1,1220,1220
368906,51.3,0.18,sav,A,1,1220,1230
370126,51.3,0.18,sav,A,2,1220,1220
371366,51.3,0.18,sav,A,3,1220,1240
372586,51.3,0.18,sav,A,4,1220,1220
373806,51.3,0.20999999999999996,sav,B,1,1220,1220
375016,51.3,0.20999999999999996,sav,B,2,1220,1210
376236,51.3,0.20999999999999996,sav,B,3,1220,1220
377446,51.3,0.20999999999999996,sav,B,4,1220,1210
378666,51.3,0.20999999999999996,sav,B,5,1220,1220
399556,51.3,0.18,sav,A,1,1240,1260
400776,51.3,0.18,sav,A,1,1240,1230
401996,51.3,0.18,sav,A,2,1240,1220
403256,51.3,0.18,sav,A,3,1260,1260
404486,51.3,0.18,sav,A,4,1230,1230
405706,51.3,0.19999999999999996,sav,B,1,1230,1220
406916,51.3,0.19999999999999996,sav,B,2,1220,1210
408106,51.3,0.19999999999999996,sav,B,3,1220,1190
409316,51.3,0.19999999999999996,sav,B,4,1210,1210
410516,51.3,0.19999999999999996,sav,B,5,1210,1200
431296,51.3,0.18,sav,A,1,1230,1230
432516,51.3,0.18,sav,A,1,1230,1230
433756,51.3,0.18,sav,A,2,1230,1240
434996,51.3,0.18,sav,A,3,1230,1240
436236,51.3,0.18,sav,A,4,1240,1240
437456,51.3,0.18999999999999995,sav,B,1,1240,1220
438706,51.3,0.18999999999999995,sav,B,2,1240,1250
439936,51.3,0.18999999999999995,sav,B,3,1240,1230
441166,51.3,0.18999999999999995,sav,B,4,1230,1230
442406,51.3,0.18999999999999995,sav,B,5,1230,1240
