state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
74778,51.3,0.18,sav,A,0,1170,1170
75968,51.3,0.18,sav,A,0,1170,1190
77158,51.3,0.18,sav,A,0,1170,1190
78298,51.3,0.18,sav,A,0,1170,1140
79478,51.3,0.18,sav,A,0,1180,1180
80648,51.3,0.22999999999999998,sav,B,0,1180,1170
81818,51.3,0.22999999999999998,sav,B,0,1170,1170
82988,51.3,0.22999999999999998,sav,B,0,1170,1170
84148,51.3,0.22999999999999998,sav,B,0,1170,1160
85328,51.3,0.22999999999999998,sav,B,0,1170,1180
86488,51.3,0.22999999999999998,sav,B,0,1170,1160
87628,51.3,0.22999999999999998,sav,B,0,1160,1140
105838,51.3,0.18,sav,A,0,1170,1190
106388,51.3,0.18,sav,A,0,1170,1160
107578,51.3,0.18,sav,A,0,1170,1190
108748,51.3,0.18,sav,A,0,1170,1170
109928,51.3,0.18,sav,A,0,1180,1180
111118,51.3,0.18,sav,A,0,1180,1190
112268,51.3,0.21999999999999997,sav,B,0,1180,1150
113458,51.3,0.21999999999999997,sav,B,0,1180,1190
114618,51.3,0.21999999999999997,sav,B,0,1180,1160
115778,51.3,0.21999999999999997,sav,B,0,1160,1160
116928,51.3,0.21999999999999997,sav,B,0,1160,1150
118078,51.3,0.21999999999999997,sav,B,0,1160,1150
119258,51.3,0.21999999999999997,sav,B,0,1160,1180
137358,51.3,0.18,sav,A,0,1170,1170
137918,51.3,0.18,sav,A,0,1170,1190
139068,51.3,0.18,sav,A,0,1170,1150
140238,51.3,0.18,sav,A,0,1170,1170
141408,51.3,0.18,sav,A,0,1170,1170
142588,51.3,0.18,sav,A,0,1170,1180
143748,51.3,0.18,sav,B,0,1170,1160
144918,51.3,0.18,sav,B,0,1170,1170
146068,51.3,0.18,sav,B,0,1170,1150
147258,51.3,0.18,sav,B,0,1170,1190
148438,51.3,0.18,sav,B,0,1170,1180
149608,51.3,0.18,sav,B,0,1170,1170
150788,51.3,0.18,sav,B,0,1180,1180
151968,51.3,0.18,sav,B,0,1180,1180
170248,51.3,0.18,sav,A,0,1170,1170
170798,51.3,0.18,sav,A,0,1170,1170
171998,51.3,0.18,sav,A,0,1170,1200
173168,51.3,0.18,sav,A,0,1170,1170
174368,51.3,0.18,sav,A,0,1170,1200
175558,51.3,0.18,sav,A,0,1190,1190
176748,51.3,0.22999999999999998,sav,B,0,1190,1190
177928,51.3,0.22999999999999998,sav,B,0,1190,1180
179098,51.3,0.22999999999999998,sav,B,0,1190,1170
180288,51.3,0.22999999999999998,sav,B,0,1190,1190
181458,51.3,0.22999999999999998,sav,B,0,1180,1170
182658,51.3,0.22999999999999998,sav,B,0,1180,1200
183828,51.3,0.22999999999999998,sav,B,0,1170,1170
185008,51.3,0.22999999999999998,sav,B,0,1180,1180
202278,51.3,0.21999999999999997,sav,A,0,1200,1170
202828,51.3,0.21999999999999997,sav,A,0,1190,1190
204018,51.3,0.21999999999999997,sav,A,0,1190,1190
205218,51.3,0.21999999999999997,sav,A,0,1190,1200
206388,51.3,0.21999999999999997,sav,A,0,1190,1170
207568,51.3,0.21999999999999997,sav,A,0,1190,1180
208738,51.3,0.18,sav,B,0,1180,1170
209938,51.3,0.18,sav,B,0,1180,1200
211118,51.3,0.18,sav,B,0,1180,1180
212308,51.3,0.18,sav,B,0,1180,1190
213498,51.3,0.18,sav,B,0,1190,1190
232118,51.3,0.20999999999999996,sav,A,0,1190,1190
232688,51.3,0.20999999999999996,sav,A,0,1190,1220
233888,51.3,0.20999999999999996,sav,A,0,1200,1200
235078,51.3,0.20999999999999996,sav,A,0,1200,1190
236268,51.3,0.20999999999999996,sav,A,0,1190,1190
237478,51.3,0.20999999999999996,sav,A,0,1200,1210
238668,51.3,0.18,sav,B,0,1190,1190
239878,51.3,0.18,sav,B,0,1190,1210
241068,51.3,0.18,sav,B,0,1190,1190
242268,51.3,0.18,sav,B,0,1200,1200
243478,51.3,0.18,sav,B,0,1200,1210
244648,51.3,0.18,sav,B,0,1200,1170
245858,51.3,0.18,sav,B,0,1200,1210
247078,51.3,0.18,sav,B,0,1210,1220
264648,51.3,0.18,sav,A,0,1210,1210
265238,51.3,0.18,sav,A,0,1220,1220
266438,51.3,0.18,sav,A,0,1210,1200
267648,51.3,0.18,sav,A,0,1210,1210
268848,51.3,0.18,sav,A,0,1210,1200
270008,51.3,0.18,sav,A,0,1200,1160
271218,51.3,0.21999999999999997,sav,B,0,1200,1210
272428,51.3,0.21999999999999997,sav,B,0,1210,1210
273668,51.3,0.21999999999999997,sav,B,0,1210,1240
274838,51.3,0.21999999999999997,sav,B,0,1210,1170
276048,51.3,0.21999999999999997,sav,B,0,1210,1210
277258,51.3,0.21999999999999997,sav,B,0,1210,1210
294728,51.3,0.20999999999999996,sav,A,0,1200,1210
295328,51.3,0.20999999999999996,sav,A,0,1210,1210
296548,51.3,0.20999999999999996,sav,A,0,1210,1220
297778,51.3,0.20999999999999996,sav,A,0,1210,1230
298968,51.3,0.20999999999999996,sav,A,0,1210,1190
300188,51.3,0.20999999999999996,sav,A,0,1220,1220
301408,51.3,0.18,sav,B,0,1220,1220
302598,51.3,0.18,sav,B,0,1220,1190
303828,51.3,0.18,sav,B,0,1220,1230
305048,51.3,0.18,sav,B,0,1220,1220
306258,51.3,0.18,sav,B,0,1220,1210
307488,51.3,0.18,sav,B,0,1220,1230
308688,51.3,0.18,sav,B,0,1220,1200
309888,51.3,0.18,sav,B,0,1210,1200
327548,51.3,0.18,sav,A,0,1230,1240
328128,51.3,0.18,sav,A,0,1220,1220
329338,51.3,0.18,sav,A,0,1220,1210
330558,51.3,0.18,sav,A,0,1220,1220
331768,51.3,0.18,sav,A,0,1220,1210
333048,51.3,0.18,sav,A,0,1220,1280
