Trial #,Sweep #,Delta,Approach,Experiment Type,Reference t_peak,Comparison t_peak,Reference peak_tn,Comparison peak_tn,Staircase Var,Reference Value,Comparison Value,t_rise_comp,t_fall_comp,Phase Order,Is Reversal,Response,Catch Trial
1,0,0.01,from_above,sav,51.3,51.3,0.18,0.22999999999999998,peak_tn,0.18,0.22999999999999998,25.299999999999997,10.300000000000004,ref_first,No,Different,No
2,0,0.01,from_above,sav,51.3,51.3,0.18,0.21999999999999997,peak_tn,0.18,0.21999999999999997,25.299999999999997,10.300000000000004,ref_first,No,Different,No
3,0,0.01,from_above,sav,51.3,51.3,0.18,0.18,peak_tn,0.18,0.18,25.299999999999997,10.300000000000004,comp_first,No,Different,Yes
4,0,0.01,from_above,sav,51.3,51.3,0.18,0.22999999999999998,peak_tn,0.18,0.22999999999999998,25.299999999999997,10.300000000000004,ref_first,No,Different,No
5,0,0.01,from_above,sav,51.3,51.3,0.18,0.21999999999999997,peak_tn,0.18,0.21999999999999997,25.299999999999997,10.300000000000004,comp_first,No,Different,No
6,0,0.01,from_above,sav,51.3,51.3,0.18,0.20999999999999996,peak_tn,0.18,0.20999999999999996,25.299999999999997,10.300000000000004,comp_first,Yes,Same,No
7,1,0.01,from_above,sav,51.3,51.3,0.18,0.21999999999999997,peak_tn,0.18,0.21999999999999997,25.299999999999997,10.300000000000004,ref_first,Yes,Different,No
8,1,0.01,from_above,sav,51.3,51.3,0.18,0.20999999999999996,peak_tn,0.18,0.20999999999999996,25.299999999999997,10.300000000000004,comp_first,Yes,Same,No
9,2,0.01,from_above,sav,51.3,51.3,0.18,0.21999999999999997,peak_tn,0.18,0.21999999999999997,25.299999999999997,10.300000000000004,ref_first,Yes,Different,No
10,2,0.01,from_above,sav,51.3,51.3,0.18,0.20999999999999996,peak_tn,0.18,0.20999999999999996,25.299999999999997,10.300000000000004,ref_first,No,Different,No
11,2,0.01,from_above,sav,51.3,51.3,0.18,0.19999999999999996,peak_tn,0.18,0.19999999999999996,25.299999999999997,10.300000000000004,ref_first,No,Different,No
12,2,0.01,from_above,sav,51.3,51.3,0.18,0.18999999999999995,peak_tn,0.18,0.18999999999999995,25.299999999999997,10.300000000000004,ref_first,Yes,Same,No
