state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
49917,25.3,10.3,51.3,-1.0,49918
51061,25.3,10.3,51.3,1144.0,1144
52213,25.3,10.3,51.3,1148.0,1152
53331,25.3,10.3,51.3,1138.0,1118
54489,25.3,10.3,51.3,1142.6666666666667,1158
55661,25.3,10.3,51.3,1149.3333333333333,1172
56839,25.3,10.3,51.3,1169.3333333333333,1178
58053,25.3,10.3,51.3,1188.0,1214
59249,25.3,10.3,51.3,1196.0,1196
60437,25.3,10.3,51.3,1199.3333333333333,1188
62281,25.3,10.3,51.3,1199.3333333333333,1844
64149,25.3,10.3,51.3,1199.3333333333333,1868
65369,25.3,10.3,51.3,1201.3333333333333,1220
66589,25.3,10.3,51.3,1209.3333333333333,1220
67773,25.3,10.3,51.3,1208.0,1184
68953,25.3,10.3,51.3,1194.6666666666667,1180
70041,25.3,10.3,51.3,1150.6666666666667,1088
71321,25.3,10.3,51.3,1182.6666666666667,1280
72439,25.3,10.3,51.3,1162.0,1118
73693,25.3,10.3,51.3,1217.3333333333333,1254
74793,25.3,10.3,51.3,1157.3333333333333,1100
76087,25.3,10.3,51.3,1216.0,1294
77305,25.3,10.3,51.3,1204.0,1218
78485,25.3,10.3,51.3,1230.6666666666667,1180
79597,25.3,10.3,51.3,1170.0,1112
80857,25.3,10.3,51.3,1184.0,1260
82053,25.3,10.3,51.3,1189.3333333333333,1196
83241,25.3,10.3,51.3,1214.6666666666667,1188
84489,25.3,10.3,51.3,1210.6666666666667,1248
