state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
58312,25.3,10.3,51.3,-1,58313
59272,25.3,10.3,51.3,960,960
60002,25.3,10.3,51.3,960,730
60752,25.3,10.3,51.3,750,750
61812,25.3,10.3,51.3,750,1060
62772,25.3,10.3,51.3,750,960
63642,25.3,10.3,51.3,870,870
64762,25.3,10.3,51.3,960,1120
65792,25.3,10.3,51.3,1030,1030
66762,25.3,10.3,51.3,1030,970
67752,25.3,10.3,51.3,990,990
68752,25.3,10.3,51.3,990,1000
69782,25.3,10.3,51.3,1000,1030
70842,25.3,10.3,51.3,1030,1060
71812,25.3,10.3,51.3,1030,970
72862,25.3,10.3,51.3,1050,1050
73842,25.3,10.3,51.3,980,980
74872,25.3,10.3,51.3,1030,1030
75892,25.3,10.3,51.3,1020,1020
76932,25.3,10.3,51.3,1030,1040
77972,25.3,10.3,51.3,1040,1040
78952,25.3,10.3,51.3,1040,980
79982,25.3,10.3,51.3,1030,1030
81022,25.3,10.3,51.3,1030,1040
82092,25.3,10.3,51.3,1040,1070
83142,25.3,10.3,51.3,1050,1050
84182,25.3,10.3,51.3,1050,1040
85102,25.3,10.3,51.3,1040,920
86152,25.3,10.3,51.3,1040,1050
87172,25.3,10.3,51.3,1020,1020
88212,25.3,10.3,51.3,1040,1040
89192,25.3,10.3,51.3,1020,980
90222,25.3,10.3,51.3,1030,1030
91252,25.3,10.3,51.3,1030,1030
92272,25.3,10.3,51.3,1030,1020
93292,25.3,10.3,51.3,1020,1020
94302,25.3,10.3,51.3,1020,1010
95342,25.3,10.3,51.3,1020,1040
96342,25.3,10.3,51.3,1010,1000
97362,25.3,10.3,51.3,1020,1020
98362,25.3,10.3,51.3,1000,1000
99392,25.3,10.3,51.3,1020,1030
100382,25.3,10.3,51.3,1000,990
101432,25.3,10.3,51.3,1030,1050
102452,25.3,10.3,51.3,1020,1020
103502,25.3,10.3,51.3,1050,1050
104542,25.3,10.3,51.3,1040,1040
105572,25.3,10.3,51.3,1040,1030
106592,25.3,10.3,51.3,1030,1020
107662,25.3,10.3,51.3,1030,1070
108652,25.3,10.3,51.3,1020,990
109712,25.3,10.3,51.3,1060,1060
110732,25.3,10.3,51.3,1020,1020
111772,25.3,10.3,51.3,1040,1040
112792,25.3,10.3,51.3,1020,1020
113872,25.3,10.3,51.3,1040,1080
114922,25.3,10.3,51.3,1050,1050
115892,25.3,10.3,51.3,1050,970
116942,25.3,10.3,51.3,1050,1050
117952,25.3,10.3,51.3,1010,1010
118952,25.3,10.3,51.3,1010,1000
119992,25.3,10.3,51.3,1010,1040
121032,25.3,10.3,51.3,1040,1040
122042,25.3,10.3,51.3,1040,1010
123112,25.3,10.3,51.3,1040,1070
