state_time,varied_value,est_stride_dur,actual_stride_dur
75875,25.3,1000,1010
76875,25.3,1000,1000
77855,25.3,1000,980
78825,25.3,1000,970
79815,25.3,990,990
80795,28.3,980,980
81805,28.3,980,1010
82795,28.3,990,990
83795,28.3,990,1000
84795,28.3,1000,1000
85775,25.3,1000,980
86795,25.3,1000,1020
87795,25.3,1000,1000
88775,25.3,1000,980
89795,25.3,1000,1020
97295,25.3,990,1030
97795,25.3,1000,1000
98805,25.3,1000,1010
99805,25.3,1000,1000
100825,25.3,1010,1020
101815,25.3,1000,990
102805,29.3,1000,990
103795,29.3,990,990
104765,29.3,990,970
105755,29.3,990,990
106745,29.3,990,990
107755,25.3,990,1010
108745,25.3,990,990
109745,25.3,990,1000
110745,25.3,1000,1000
111745,25.3,1000,1000
112735,25.3,1000,990
113735,25.3,1000,1000
114745,25.3,1000,1010
115765,25.3,1000,1020
116775,25.3,1010,1010
117755,25.3,1010,980
118755,25.3,1010,1000
119765,25.3,1010,1010
120775,25.3,1010,1010
121785,25.3,1010,1010
122805,25.3,1010,1020
123795,25.3,1010,990
124815,25.3,1010,1020
125815,25.3,1010,1000
126825,25.3,1010,1010
127845,25.3,1010,1020
128845,25.3,1010,1000
129845,25.3,1000,1000
130845,25.3,1000,1000
131855,25.3,1000,1010
132875,25.3,1000,1020
133885,25.3,1010,1010
142445,25.3,1010,1010
143005,25.3,1010,1060
143935,25.3,1010,930
144935,25.3,1010,1000
145935,25.3,1000,1000
146935,25.3,1000,1000
147945,25.3,1000,1010
148905,25.3,1000,960
149895,25.3,1000,990
150895,25.3,1000,1000
151895,25.3,1000,1000
152885,25.3,990,990
153865,25.3,990,980
154865,25.3,1000,1000
155835,25.3,990,970
156835,25.3,990,1000
157805,25.3,980,970
158815,25.3,1000,1010
159785,25.3,970,970
168225,25.3,990,990
168705,28.3,990,980
169695,28.3,990,990
170685,28.3,990,990
171665,28.3,990,980
172655,28.3,990,990
173645,25.3,990,990
174625,25.3,990,980
175625,25.3,990,1000
176615,25.3,990,990
177605,25.3,990,990
178605,25.3,990,1000
179595,25.3,990,990
180605,25.3,990,1010
181585,25.3,990,980
182605,25.3,1000,1020
183605,25.3,1000,1000
184605,25.3,1000,1000
185605,25.3,1000,1000
186605,25.3,1000,1000
187595,25.3,1000,990
188585,25.3,1000,990
189575,25.3,990,990
190565,25.3,990,990
191565,25.3,990,1000
192565,25.3,990,1000
193555,25.3,990,990
194535,25.3,990,980
195535,25.3,1000,1000
196545,25.3,1000,1010
197525,25.3,990,980
198535,25.3,1000,1010
199515,25.3,1000,980
200525,25.3,1010,1010
201525,25.3,1000,1000
202515,25.3,1000,990
203525,25.3,1000,1010
