state_time,t_peak,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
72554,54.3,A,1,990,980
73544,54.3,A,2,990,990
74544,54.3,A,3,990,1000
75524,54.3,A,4,990,980
76494,51.3,B,1,980,970
77484,51.3,B,2,990,990
78464,51.3,B,3,980,980
79444,51.3,B,4,980,980
80444,51.3,B,5,980,1000
102004,51.3,A,1,980,980
103084,51.3,A,1,980,1090
103974,51.3,A,2,980,890
104954,51.3,A,3,980,980
105904,51.3,A,4,980,950
106894,55.3,B,1,980,990
107884,55.3,B,2,980,990
108854,55.3,B,3,980,970
109844,55.3,B,4,990,990
110834,55.3,B,5,990,990
122634,54.3,A,1,980,980
123584,54.3,A,1,980,960
124564,54.3,A,2,980,980
125534,54.3,A,3,980,970
126524,54.3,A,4,980,990
127504,51.3,B,1,980,980
128494,51.3,B,2,980,990
129484,51.3,B,3,990,990
130454,51.3,B,4,990,970
131434,51.3,B,5,980,980
149054,51.3,A,1,960,990
150004,51.3,A,1,970,970
150964,51.3,A,2,970,960
151954,51.3,A,3,970,990
152924,51.3,A,4,970,970
153904,51.3,B,1,970,980
154864,51.3,B,2,970,960
155844,51.3,B,3,980,980
156804,51.3,B,4,970,960
157784,51.3,B,5,980,980
174464,55.3,A,1,980,970
175424,55.3,A,1,980,970
176384,55.3,A,2,970,960
177354,55.3,A,3,970,970
178324,55.3,A,4,970,970
179304,51.3,B,1,970,980
180284,51.3,B,2,970,980
181254,51.3,B,3,970,970
182244,51.3,B,4,980,990
183204,51.3,B,5,980,960
197894,51.3,A,1,960,960
198884,51.3,A,1,960,1000
199864,51.3,A,2,980,980
200864,51.3,A,3,980,1000
201854,51.3,A,4,990,990
202834,54.3,B,1,990,980
203804,54.3,B,2,980,970
204774,54.3,B,3,980,970
205754,54.3,B,4,980,980
206724,54.3,B,5,970,970
216634,51.3,A,1,1000,970
217644,51.3,A,1,1000,1020
218644,51.3,A,2,1000,1000
219614,51.3,A,3,990,970
220614,51.3,A,4,1000,1000
221614,53.3,B,1,1000,1000
222574,53.3,B,2,1000,960
223654,53.3,B,3,1000,1080
224624,53.3,B,4,1000,970
225614,53.3,B,5,990,990
239434,51.3,A,1,980,1000
240414,51.3,A,1,980,990
241384,51.3,A,2,980,970
242374,51.3,A,3,990,990
243374,51.3,A,4,990,1000
244344,52.3,B,1,990,970
245324,52.3,B,2,980,980
246314,52.3,B,3,990,990
247294,52.3,B,4,980,980
248284,52.3,B,5,980,990
261214,51.3,A,1,990,990
262174,51.3,A,1,990,970
263164,51.3,A,2,990,990
264164,51.3,A,3,990,1000
265154,51.3,A,4,990,990
266164,51.3,B,1,990,1010
267144,51.3,B,2,990,980
268134,51.3,B,3,990,990
269134,51.3,B,4,990,1000
270104,51.3,B,5,990,970
279994,51.3,A,1,990,1000
280964,51.3,A,1,990,980
281964,51.3,A,2,990,1000
282934,51.3,A,3,990,970
283934,51.3,A,4,1000,1000
284934,51.3,B,1,1000,1000
285934,51.3,B,2,1000,1000
286924,51.3,B,3,1000,990
287914,51.3,B,4,1000,990
288914,51.3,B,5,1000,1000
304974,51.3,A,1,990,990
305954,51.3,A,1,990,990
306944,51.3,A,2,990,990
307944,51.3,A,3,990,1000
308944,51.3,A,4,990,1000
309934,53.3,B,1,990,990
310924,53.3,B,2,990,990
311914,53.3,B,3,990,990
312904,53.3,B,4,990,990
313894,53.3,B,5,990,990
323814,51.3,A,1,980,980
324784,51.3,A,1,980,980
325784,51.3,A,2,980,1000
326764,51.3,A,3,980,980
327744,51.3,A,4,980,980
328734,52.3,B,1,980,990
329714,52.3,B,2,980,980
330714,52.3,B,3,980,1000
331704,52.3,B,4,990,990
332694,52.3,B,5,990,990
346684,51.3,A,1,990,980
347664,51.3,A,1,990,990
348664,51.3,A,2,990,1000
349654,51.3,A,3,990,990
350634,51.3,A,4,990,980
351624,53.3,B,1,990,990
352624,53.3,B,2,990,1000
353614,53.3,B,3,990,990
354604,53.3,B,4,990,990
355624,53.3,B,5,990,1020
369604,51.3,A,1,990,990
370584,51.3,A,1,990,990
371584,51.3,A,2,990,1000
372554,51.3,A,3,990,970
373544,51.3,A,4,990,990
374534,52.3,B,1,990,990
375524,52.3,B,2,990,990
376514,52.3,B,3,990,990
377524,52.3,B,4,990,1010
378514,52.3,B,5,990,990
388514,53.3,A,1,1000,1000
389504,53.3,A,1,1000,1000
390474,53.3,A,2,1000,970
391464,53.3,A,3,1000,990
392454,53.3,A,4,990,990
393444,51.3,B,1,990,990
394444,51.3,B,2,990,1000
395444,51.3,B,3,990,1000
396434,51.3,B,4,990,990
397424,51.3,B,5,990,990
408414,52.3,A,1,1000,1000
409424,52.3,A,1,1000,1020
410434,52.3,A,2,1010,1010
411434,52.3,A,3,1010,1000
412444,52.3,A,4,1010,1010
413434,51.3,B,1,1010,990
414424,51.3,B,2,1000,990
415424,51.3,B,3,1000,1000
416424,51.3,B,4,1000,1000
417424,51.3,B,5,1000,1000
428424,51.3,A,1,1000,990
429404,51.3,A,1,1000,1000
430404,51.3,A,2,1000,1000
431404,51.3,A,3,1000,1000
432404,51.3,A,4,1000,1000
433404,53.3,B,1,1000,1000
434414,53.3,B,2,1000,1010
435424,53.3,B,3,1000,1010
436434,53.3,B,4,1010,1010
437444,53.3,B,5,1010,1010
449484,51.3,A,1,1010,1010
450454,51.3,A,1,1010,980
451444,51.3,A,2,1010,990
452444,51.3,A,3,1000,1000
453444,51.3,A,4,1000,1000
454454,52.3,B,1,1000,1010
455464,52.3,B,2,1000,1010
456464,52.3,B,3,1000,1000
457464,52.3,B,4,1000,1000
458464,52.3,B,5,1000,1000
470454,51.3,A,1,1010,1010
471454,51.3,A,1,1010,1010
472444,51.3,A,2,1010,990
473454,51.3,A,3,1010,1010
474464,51.3,A,4,1010,1010
475464,53.3,B,1,1010,1000
476484,53.3,B,2,1010,1020
477474,53.3,B,3,1010,990
478474,53.3,B,4,1000,1000
479454,53.3,B,5,1000,980
490474,51.3,A,1,1000,990
491474,51.3,A,1,1000,1010
492464,51.3,A,2,1000,990
493484,51.3,A,3,1010,1020
494484,51.3,A,4,1000,1000
495484,51.3,B,1,1000,1000
496474,51.3,B,2,1000,990
497484,51.3,B,3,1000,1010
498484,51.3,B,4,1000,1000
499484,51.3,B,5,1000,1000
511434,51.3,A,1,990,1000
512404,51.3,A,1,990,980
513404,51.3,A,2,990,1000
514404,51.3,A,3,1000,1000
515394,51.3,A,4,1000,990
516404,52.3,B,1,1000,1010
517404,52.3,B,2,1000,1000
518394,52.3,B,3,1000,990
519394,52.3,B,4,1000,1000
520384,52.3,B,5,1000,990
531534,53.3,A,1,1010,1000
532534,53.3,A,1,1010,1010
533544,53.3,A,2,1010,1010
534564,53.3,A,3,1010,1020
535564,53.3,A,4,1010,1000
536564,51.3,B,1,1010,1000
537584,51.3,B,2,1010,1020
538594,51.3,B,3,1010,1010
539594,51.3,B,4,1000,1000
540604,51.3,B,5,1010,1010
551614,54.3,A,1,1000,1000
552624,54.3,A,1,1000,1020
553634,54.3,A,2,1000,1010
554644,54.3,A,3,1010,1010
555664,54.3,A,4,1010,1020
556684,51.3,B,1,1020,1020
557694,51.3,B,2,1010,1010
558714,51.3,B,3,1020,1020
559734,51.3,B,4,1020,1020
560754,51.3,B,5,1020,1020
575994,51.3,A,1,1010,1020
577004,51.3,A,1,1020,1020
578004,51.3,A,2,1010,1000
579024,51.3,A,3,1020,1020
580044,51.3,A,4,1020,1020
581044,53.3,B,1,1020,1000
582064,53.3,B,2,1020,1020
583204,53.3,B,3,1020,1140
584164,53.3,B,4,1020,960
585184,53.3,B,5,1020,1020
594384,51.3,A,1,1020,1020
595394,51.3,A,1,1020,1020
596414,51.3,A,2,1020,1020
597424,51.3,A,3,1020,1010
598424,51.3,A,4,1020,1000
599444,52.3,B,1,1020,1020
600454,52.3,B,2,1010,1010
601454,52.3,B,3,1010,1000
602444,52.3,B,4,1000,990
603454,52.3,B,5,1010,1010
614574,51.3,A,1,1010,1010
615584,51.3,A,1,1020,1020
616604,51.3,A,2,1020,1020
617604,51.3,A,3,1020,1000
618624,51.3,A,4,1020,1020
619624,53.3,B,1,1020,1000
620634,53.3,B,2,1010,1010
621644,53.3,B,3,1010,1010
