state_time,t_peak,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
61501,54.3,A,0,990,990
62491,54.3,A,0,990,990
63481,54.3,A,0,990,990
64461,54.3,A,0,990,980
65451,54.3,A,0,990,990
66421,51.3,B,0,990,970
67401,51.3,B,0,980,980
68401,51.3,B,0,980,1000
69371,51.3,B,0,980,970
70361,51.3,B,0,980,990
71341,51.3,B,0,980,980
72351,51.3,B,0,990,1010
73311,51.3,B,0,980,960
74271,51.3,B,0,980,960
75251,51.3,B,0,980,980
76231,51.3,B,0,980,980
77221,51.3,B,0,980,990
78191,51.3,B,0,980,970
79171,51.3,B,0,980,980
80151,51.3,B,0,980,980
81121,51.3,B,0,980,970
82091,51.3,B,0,970,970
83081,51.3,B,0,980,990
91441,51.3,A,0,980,990
92911,51.3,A,0,980,1960
93881,51.3,A,0,980,970
94881,51.3,A,0,980,1000
95831,51.3,A,0,980,950
96821,55.3,B,0,990,990
97811,55.3,B,0,990,990
98781,55.3,B,0,990,970
99781,55.3,B,0,990,1000
100751,55.3,B,0,990,970
101731,51.3,B,0,980,980
102731,51.3,B,0,980,1000
103711,51.3,B,0,980,980
104711,51.3,B,0,980,1000
112071,51.3,A,0,990,990
112541,54.3,A,0,980,960
113521,54.3,A,0,980,980
114511,54.3,A,0,990,990
115471,54.3,A,0,980,960
116451,54.3,A,0,980,980
117441,51.3,B,0,980,990
118411,51.3,B,0,980,970
119391,51.3,B,0,980,980
120371,51.3,B,0,980,980
121361,51.3,B,0,980,990
122331,51.3,B,0,980,970
123321,51.3,B,0,980,990
124311,51.3,B,0,990,990
125291,51.3,B,0,990,980
126281,51.3,B,0,990,990
127261,51.3,B,0,990,980
128251,51.3,B,0,990,990
129221,51.3,B,0,980,970
130211,51.3,B,0,990,990
138481,51.3,A,0,970,960
138941,51.3,A,0,970,970
139911,51.3,A,0,970,970
140901,51.3,A,0,970,990
141881,51.3,A,0,970,980
142851,51.3,A,0,970,970
143821,51.3,B,0,970,970
144791,51.3,B,0,970,970
145751,51.3,B,0,970,960
146741,51.3,B,0,970,990
147721,51.3,B,0,970,980
148681,51.3,B,0,970,960
149661,51.3,B,0,980,980
150641,51.3,B,0,980,980
152611,51.3,B,0,980,1970
153601,51.3,B,0,980,990
154581,51.3,B,0,980,980
155561,51.3,B,0,980,980
156541,51.3,B,0,980,980
163901,51.3,A,0,990,970
164361,55.3,A,0,970,960
165331,55.3,A,0,970,970
166301,55.3,A,0,970,970
167281,55.3,A,0,970,980
168251,55.3,A,0,970,970
169241,51.3,B,0,970,990
170201,51.3,B,0,970,960
171181,51.3,B,0,980,980
172141,51.3,B,0,970,960
173131,51.3,B,0,980,990
174111,51.3,B,0,980,980
175101,51.3,B,0,980,990
176071,51.3,B,0,980,970
177041,51.3,B,0,980,970
178031,51.3,B,0,980,990
179031,51.3,B,0,990,1000
187321,51.3,A,0,980,970
187811,51.3,A,0,970,960
188811,51.3,A,0,970,1000
189781,51.3,A,0,970,970
190791,51.3,A,0,970,1010
191771,51.3,A,0,980,980
192751,54.3,B,0,980,980
193721,54.3,B,0,980,970
194691,54.3,B,0,980,970
195661,54.3,B,0,970,970
196651,54.3,B,0,970,990
197651,51.3,B,0,970,1000
198621,51.3,B,0,970,970
206061,51.3,A,0,1000,1000
206561,51.3,A,0,1000,980
207581,51.3,A,0,1000,1020
208561,51.3,A,0,980,980
209541,51.3,A,0,980,980
210541,51.3,A,0,980,1000
211521,53.3,B,0,980,980
212581,53.3,B,0,980,1060
213561,53.3,B,0,980,980
214561,53.3,B,0,1000,1000
215531,53.3,B,0,980,970
216531,51.3,B,0,1000,1000
217541,51.3,B,0,1000,1010
218531,51.3,B,0,1000,990
219521,51.3,B,0,990,990
220511,51.3,B,0,990,990
221501,51.3,B,0,990,990
228861,51.3,A,0,980,980
229341,51.3,A,0,980,990
230331,51.3,A,0,980,990
231321,51.3,A,0,990,990
232301,51.3,A,0,990,980
233301,51.3,A,0,990,1000
234271,52.3,B,0,990,970
235251,52.3,B,0,980,980
236221,52.3,B,0,980,970
237221,52.3,B,0,980,1000
238211,52.3,B,0,980,990
239221,51.3,B,0,990,1010
240221,51.3,B,0,1000,1000
241211,51.3,B,0,1000,990
242211,51.3,B,0,1000,1000
250651,51.3,A,0,990,990
251111,51.3,A,0,990,980
252101,51.3,A,0,990,990
253091,51.3,A,0,990,990
254071,51.3,A,0,990,980
255081,51.3,A,0,990,1010
256091,51.3,B,0,990,1010
257081,51.3,B,0,990,990
258051,51.3,B,0,990,970
259051,51.3,B,0,1000,1000
260021,51.3,B,0,990,970
261021,51.3,B,0,990,1000
269431,51.3,A,0,980,990
269911,51.3,A,0,990,1000
270891,51.3,A,0,990,980
271881,51.3,A,0,990,990
272861,51.3,A,0,990,980
273861,51.3,A,0,990,1000
274861,51.3,B,0,990,1000
275861,51.3,B,0,1000,1000
276851,51.3,B,0,1000,990
277851,51.3,B,0,1000,1000
278841,51.3,B,0,1000,990
