Trial #,Sweep #,Delta,Approach,Reference t_peak,Comparison t_peak,t_rise_comp,t_fall_comp,Phase Order,Is Reversal,Response,Catch Trial
1,0,1.0,from_above,51.3,54.3,28.299999999999997,7.300000000000004,comp_first,No,Same,No
2,0,1.0,from_above,51.3,55.3,29.299999999999997,6.300000000000004,ref_first,Yes,Different,No
3,0,1.0,from_above,51.3,54.3,28.299999999999997,7.300000000000004,comp_first,No,Same,No
4,0,1.0,from_above,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
5,0,1.0,from_above,51.3,55.3,29.299999999999997,6.300000000000004,comp_first,Yes,Different,No
6,0,1.0,from_above,51.3,54.3,28.299999999999997,7.300000000000004,ref_first,No,Different,No
7,0,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,ref_first,No,Different,No
8,1,1.0,from_above,51.3,52.3,26.299999999999997,9.300000000000004,ref_first,Yes,Same,No
9,1,1.0,from_above,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
10,1,1.0,from_above,51.3,51.3,25.299999999999997,10.300000000000004,comp_first,No,Same,Yes
11,1,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,ref_first,Yes,Different,No
12,2,1.0,from_above,51.3,52.3,26.299999999999997,9.300000000000004,ref_first,Yes,Same,No
13,2,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,ref_first,Yes,Different,No
14,3,1.0,from_above,51.3,52.3,26.299999999999997,9.300000000000004,ref_first,Yes,Same,No
15,3,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,comp_first,Yes,Different,No
16,4,1.0,from_above,51.3,52.3,26.299999999999997,9.300000000000004,comp_first,Yes,Same,No
17,4,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,ref_first,Yes,Different,No
18,5,1.0,from_above,51.3,52.3,26.299999999999997,9.300000000000004,ref_first,Yes,Same,No
19,5,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,ref_first,Yes,Different,No
20,5,1.0,from_above,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Different,Yes
21,6,1.0,from_above,51.3,52.3,26.299999999999997,9.300000000000004,ref_first,Yes,Same,No
22,6,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,comp_first,No,Same,No
23,6,1.0,from_above,51.3,54.3,28.299999999999997,7.300000000000004,comp_first,Yes,Different,No
24,6,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,ref_first,No,Different,No
25,7,1.0,from_above,51.3,52.3,26.299999999999997,9.300000000000004,ref_first,Yes,Same,No
26,7,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,ref_first,No,Same,No
27,7,1.0,from_above,51.3,54.3,28.299999999999997,7.300000000000004,ref_first,Yes,Different,No
28,8,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,comp_first,Yes,Same,No
29,8,1.0,from_above,51.3,54.3,28.299999999999997,7.300000000000004,comp_first,Yes,Different,No
30,8,1.0,from_above,51.3,53.3,27.299999999999997,8.300000000000004,ref_first,No,Different,No
31,9,1.0,from_above,51.3,52.3,26.299999999999997,9.300000000000004,comp_first,Yes,Same,No
