state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
152430,48.3,0.225,max,A,1,950,980
153400,48.3,0.225,max,A,2,950,970
154340,48.3,0.225,max,A,3,950,940
155300,48.3,0.225,max,A,4,960,960
156250,51.3,0.225,max,B,1,960,950
157220,51.3,0.225,max,B,2,960,970
158160,51.3,0.225,max,B,3,950,940
159120,51.3,0.225,max,B,4,960,960
160080,51.3,0.225,max,B,5,960,960
172450,51.3,0.225,max,A,1,950,950
173380,51.3,0.225,max,A,1,950,950
174340,51.3,0.225,max,A,2,950,960
175300,51.3,0.225,max,A,3,950,960
176240,51.3,0.225,max,A,4,950,940
177200,47.3,0.225,max,B,1,960,960
178150,47.3,0.225,max,B,2,960,950
179100,47.3,0.225,max,B,3,950,950
180070,47.3,0.225,max,B,4,950,970
181020,47.3,0.225,max,B,5,950,950
191570,48.3,0.225,max,A,1,970,980
192520,48.3,0.225,max,A,1,960,960
193490,48.3,0.225,max,A,2,970,970
194450,48.3,0.225,max,A,3,960,960
195420,48.3,0.225,max,A,4,970,970
196390,51.3,0.225,max,B,1,970,970
197360,51.3,0.225,max,B,2,970,970
198320,51.3,0.225,max,B,3,970,960
199300,51.3,0.225,max,B,4,970,980
200270,51.3,0.225,max,B,5,970,970
210800,47.3,0.225,max,A,1,950,950
211750,47.3,0.225,max,A,1,950,960
212700,47.3,0.225,max,A,2,950,950
213660,47.3,0.225,max,A,3,960,960
214620,47.3,0.225,max,A,4,960,960
215570,51.3,0.225,max,B,1,960,950
216530,51.3,0.225,max,B,2,960,960
217480,51.3,0.225,max,B,3,960,950
218460,51.3,0.225,max,B,4,960,980
219400,51.3,0.225,max,B,5,950,940
229960,51.3,0.225,max,A,1,960,970
230880,51.3,0.225,max,A,1,950,930
231840,51.3,0.225,max,A,2,960,960
232790,51.3,0.225,max,A,3,950,950
233740,51.3,0.225,max,A,4,950,950
234710,51.3,0.225,max,B,1,950,970
235660,51.3,0.225,max,B,2,950,950
236630,51.3,0.225,max,B,3,950,970
237580,51.3,0.225,max,B,4,950,950
238540,51.3,0.225,max,B,5,960,960
249060,51.3,0.225,max,A,1,960,960
250000,51.3,0.225,max,A,1,960,950
250940,51.3,0.225,max,A,2,950,940
251900,51.3,0.225,max,A,3,950,960
252840,51.3,0.225,max,A,4,950,940
253810,46.3,0.225,max,B,1,950,970
254770,46.3,0.225,max,B,2,960,960
255720,46.3,0.225,max,B,3,960,950
256670,46.3,0.225,max,B,4,950,950
257640,46.3,0.225,max,B,5,960,970
268090,51.3,0.225,max,A,1,960,950
269030,51.3,0.225,max,A,1,960,950
270000,51.3,0.225,max,A,2,960,970
270970,51.3,0.225,max,A,3,960,970
271930,51.3,0.225,max,A,4,960,960
272900,47.3,0.225,max,B,1,970,970
273860,47.3,0.225,max,B,2,970,960
274830,47.3,0.225,max,B,3,970,970
275790,47.3,0.225,max,B,4,960,960
276750,47.3,0.225,max,B,5,960,960
290210,46.3,0.225,max,A,1,960,950
291160,46.3,0.225,max,A,1,960,960
292120,46.3,0.225,max,A,2,960,960
293080,46.3,0.225,max,A,3,960,960
294040,46.3,0.225,max,A,4,960,960
295000,51.3,0.225,max,B,1,960,960
295970,51.3,0.225,max,B,2,960,970
296920,51.3,0.225,max,B,3,960,950
297890,51.3,0.225,max,B,4,960,970
298880,51.3,0.225,max,B,5,970,990
311410,45.3,0.225,max,A,1,960,960
312360,45.3,0.225,max,A,1,960,960
313300,45.3,0.225,max,A,2,960,940
314260,45.3,0.225,max,A,3,960,960
315200,45.3,0.225,max,A,4,960,940
316160,51.3,0.225,max,B,1,960,960
317110,51.3,0.225,max,B,2,950,950
318060,51.3,0.225,max,B,3,950,950
319000,51.3,0.225,max,B,4,950,940
319980,51.3,0.225,max,B,5,950,980
330450,46.3,0.225,max,A,1,950,950
