state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
143190,48.3,0.225,max,A,0,950,940
144180,48.3,0.225,max,A,0,950,990
145130,48.3,0.225,max,A,0,950,950
146080,48.3,0.225,max,A,0,950,950
147040,48.3,0.225,max,A,0,950,960
148000,51.3,0.225,max,B,0,960,960
148960,51.3,0.225,max,B,0,960,960
149910,51.3,0.225,max,B,0,960,950
150870,51.3,0.225,max,B,0,960,960
151820,51.3,0.225,max,B,0,960,950
152770,51.3,0.225,max,B,0,950,950
153710,51.3,0.225,max,B,0,950,940
154680,51.3,0.225,max,B,0,950,970
155600,51.3,0.225,max,B,0,950,920
156580,51.3,0.225,max,B,0,950,980
163700,51.3,0.225,max,A,0,940,960
164160,51.3,0.225,max,A,0,940,940
165130,51.3,0.225,max,A,0,940,970
166090,51.3,0.225,max,A,0,960,960
167020,51.3,0.225,max,A,0,960,930
167990,51.3,0.225,max,A,0,960,970
168940,47.3,0.225,max,B,0,960,950
169880,47.3,0.225,max,B,0,950,940
170850,47.3,0.225,max,B,0,950,970
171810,47.3,0.225,max,B,0,960,960
172770,47.3,0.225,max,B,0,960,960
173710,51.3,0.225,max,B,0,960,940
174660,51.3,0.225,max,B,0,960,950
182820,51.3,0.225,max,A,0,960,960
183300,48.3,0.225,max,A,0,960,960
184260,48.3,0.225,max,A,0,960,960
185230,48.3,0.225,max,A,0,960,970
186190,48.3,0.225,max,A,0,960,960
187150,48.3,0.225,max,A,0,960,960
188130,51.3,0.225,max,B,0,960,980
189110,51.3,0.225,max,B,0,970,980
190080,51.3,0.225,max,B,0,970,970
191040,51.3,0.225,max,B,0,970,960
192020,51.3,0.225,max,B,0,980,980
192970,51.3,0.225,max,B,0,970,950
193930,51.3,0.225,max,B,0,960,960
194900,51.3,0.225,max,B,0,960,970
202060,51.3,0.225,max,A,0,950,950
202530,47.3,0.225,max,A,0,950,960
203480,47.3,0.225,max,A,0,950,950
204440,47.3,0.225,max,A,0,950,960
205410,47.3,0.225,max,A,0,960,970
206360,47.3,0.225,max,A,0,960,950
207310,51.3,0.225,max,B,0,950,950
208270,51.3,0.225,max,B,0,960,960
209230,51.3,0.225,max,B,0,960,960
210190,51.3,0.225,max,B,0,960,960
211140,51.3,0.225,max,B,0,960,950
212120,51.3,0.225,max,B,0,960,980
213070,51.3,0.225,max,B,0,960,950
214030,51.3,0.225,max,B,0,960,960
221210,51.3,0.225,max,A,0,950,940
221670,51.3,0.225,max,A,0,950,950
222620,51.3,0.225,max,A,0,950,950
