Trial #,Sweep #,Delta,Approach,Experiment Type,Reference t_peak,Comparison t_peak,Reference peak_tn,Comparison peak_tn,Staircase Var,Reference Value,Comparison Value,t_rise_comp,t_fall_comp,Phase Order,Is Reversal,Response,Catch Trial
1,0,1.0,from_below,max,51.3,48.3,0.225,0.225,t_peak,51.3,48.3,22.299999999999997,13.300000000000004,comp_first,No,Same,No
2,0,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,ref_first,Yes,Different,No
3,0,1.0,from_below,max,51.3,48.3,0.225,0.225,t_peak,51.3,48.3,22.299999999999997,13.300000000000004,comp_first,No,Same,No
4,0,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,comp_first,No,Same,No
5,0,1.0,from_below,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
6,0,1.0,from_below,max,51.3,46.3,0.225,0.225,t_peak,51.3,46.3,20.299999999999997,15.300000000000004,ref_first,Yes,Different,No
7,1,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,ref_first,Yes,Same,No
8,1,1.0,from_below,max,51.3,46.3,0.225,0.225,t_peak,51.3,46.3,20.299999999999997,15.300000000000004,comp_first,No,Same,No
9,1,1.0,from_below,max,51.3,45.3,0.225,0.225,t_peak,51.3,45.3,19.299999999999997,16.300000000000004,comp_first,Yes,Different,No
10,1,1.0,from_below,max,51.3,46.3,0.225,0.225,t_peak,51.3,46.3,20.299999999999997,15.300000000000004,comp_first,No,Different,No
11,2,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,comp_first,Yes,Same,No
12,2,1.0,from_below,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,comp_first,No,Same,Yes
13,2,1.0,from_below,max,51.3,46.3,0.225,0.225,t_peak,51.3,46.3,20.299999999999997,15.300000000000004,ref_first,Yes,Different,No
14,2,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,ref_first,No,Different,No
15,2,1.0,from_below,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
16,2,1.0,from_below,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
