state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
95596,51.3,0.22999999999999998,sav,A,1,980,950
96576,51.3,0.22999999999999998,sav,A,2,980,980
97536,51.3,0.22999999999999998,sav,A,3,970,960
98486,51.3,0.22999999999999998,sav,A,4,960,950
99466,51.3,0.18,sav,B,1,960,980
100426,51.3,0.18,sav,B,2,960,960
101376,51.3,0.18,sav,B,3,960,950
102336,51.3,0.18,sav,B,4,960,960
103286,51.3,0.18,sav,B,5,960,950
115846,51.3,0.18,sav,A,1,960,950
116806,51.3,0.18,sav,A,1,960,970
117786,51.3,0.18,sav,A,2,970,980
118746,51.3,0.18,sav,A,3,960,960
119696,51.3,0.18,sav,A,4,960,950
120666,51.3,0.24,sav,B,1,970,970
121616,51.3,0.24,sav,B,2,960,950
122566,51.3,0.24,sav,B,3,950,950
123536,51.3,0.24,sav,B,4,950,970
124486,51.3,0.24,sav,B,5,950,950
136096,51.3,0.18,sav,A,1,970,970
137066,51.3,0.18,sav,A,1,980,980
138036,51.3,0.18,sav,A,2,980,970
139006,51.3,0.18,sav,A,3,970,970
139986,51.3,0.18,sav,A,4,970,980
140956,51.3,0.22999999999999998,sav,B,1,970,970
141916,51.3,0.22999999999999998,sav,B,2,970,960
142906,51.3,0.22999999999999998,sav,B,3,970,990
143876,51.3,0.22999999999999998,sav,B,4,970,970
144856,51.3,0.22999999999999998,sav,B,5,970,980
