state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
80693,51.3,0.22999999999999998,sav,A,0,960,960
81653,51.3,0.22999999999999998,sav,A,0,960,960
82643,51.3,0.22999999999999998,sav,A,0,960,990
83593,51.3,0.22999999999999998,sav,A,0,960,950
84563,51.3,0.22999999999999998,sav,A,0,960,970
85503,51.3,0.18,sav,B,0,960,940
86473,51.3,0.18,sav,B,0,970,970
87423,51.3,0.18,sav,B,0,950,950
88373,51.3,0.18,sav,B,0,950,950
89333,51.3,0.18,sav,B,0,950,960
90283,51.3,0.18,sav,B,0,950,950
91273,51.3,0.18,sav,B,0,950,990
92243,51.3,0.18,sav,B,0,960,970
93203,51.3,0.18,sav,B,0,960,960
101413,51.3,0.18,sav,A,0,970,970
101893,51.3,0.18,sav,A,0,960,950
102843,51.3,0.18,sav,A,0,960,950
103843,51.3,0.18,sav,A,0,970,1000
104793,51.3,0.18,sav,A,0,950,950
105773,51.3,0.18,sav,A,0,950,980
107663,51.3,0.24,sav,B,0,950,1890
108623,51.3,0.24,sav,B,0,960,960
109573,51.3,0.24,sav,B,0,960,950
110543,51.3,0.24,sav,B,0,960,970
111513,51.3,0.24,sav,B,0,970,970
112453,51.3,0.24,sav,B,0,960,940
113403,51.3,0.24,sav,B,0,950,950
121663,51.3,0.18,sav,A,0,960,15673
137863,51.3,0.22999999999999998,sav,B,0,960,4917
138843,51.3,0.22999999999999998,sav,B,0,970,980
139833,51.3,0.22999999999999998,sav,B,0,980,990
140813,51.3,0.22999999999999998,sav,B,0,980,980
141793,51.3,0.22999999999999998,sav,B,0,980,980
142783,51.3,0.22999999999999998,sav,B,0,980,990
143773,51.3,0.22999999999999998,sav,B,0,990,990
146773,51.3,0.22999999999999998,sav,B,0,990,3000
