state_time,t_rise,t_fall,t_peak,est_stride_dur,actual_stride_dur
97578,25.3,10.3,51.3,-1,97579
98838,25.3,10.3,51.3,1260,1260
100018,25.3,10.3,51.3,1260,1180
101188,25.3,10.3,51.3,1180,1170
102428,25.3,10.3,51.3,1240,1240
103498,25.3,10.3,51.3,1180,1070
104728,25.3,10.3,51.3,1180,1230
105798,25.3,10.3,51.3,1170,1070
107018,25.3,10.3,51.3,1220,1220
108088,25.3,10.3,51.3,1070,1070
109218,25.3,10.3,51.3,1130,1130
110388,25.3,10.3,51.3,1130,1170
111448,25.3,10.3,51.3,1130,1060
112658,25.3,10.3,51.3,1130,1210
113698,25.3,10.3,51.3,1130,1040
114838,25.3,10.3,51.3,1140,1140
115958,25.3,10.3,51.3,1120,1120
117138,25.3,10.3,51.3,1140,1180
118188,25.3,10.3,51.3,1120,1050
119378,25.3,10.3,51.3,1140,1190
120488,25.3,10.3,51.3,1120,1110
121628,25.3,10.3,51.3,1140,1140
122748,25.3,10.3,51.3,1120,1120
123888,25.3,10.3,51.3,1140,1140
125028,25.3,10.3,51.3,1140,1140
126098,25.3,10.3,51.3,1140,1070
127218,25.3,10.3,51.3,1120,1120
128408,25.3,10.3,51.3,1140,1190
129518,25.3,10.3,51.3,1120,1110
130568,25.3,10.3,51.3,1110,1050
131778,25.3,10.3,51.3,1120,1210
132868,25.3,10.3,51.3,1110,1090
133978,25.3,10.3,51.3,1110,1110
135028,25.3,10.3,51.3,1090,1050
136238,25.3,10.3,51.3,1110,1210
137278,25.3,10.3,51.3,1090,1040
138468,25.3,10.3,51.3,1110,1190
139508,25.3,10.3,51.3,1050,1040
140718,25.3,10.3,51.3,1190,1210
141828,25.3,10.3,51.3,1110,1110
142878,25.3,10.3,51.3,1110,1050
144048,25.3,10.3,51.3,1110,1170
145108,25.3,10.3,51.3,1110,1060
146298,25.3,10.3,51.3,1110,1190
147368,25.3,10.3,51.3,1070,1070
148578,25.3,10.3,51.3,1170,1210
149608,25.3,10.3,51.3,1070,1030
150838,25.3,10.3,51.3,1190,1230
151858,25.3,10.3,51.3,1070,1020
153048,25.3,10.3,51.3,1190,1190
154088,25.3,10.3,51.3,1040,1040
155278,25.3,10.3,51.3,1190,1190
156318,25.3,10.3,51.3,1040,1040
157508,25.3,10.3,51.3,1190,1190
158538,25.3,10.3,51.3,1040,1030
159728,25.3,10.3,51.3,1190,1190
160768,25.3,10.3,51.3,1040,1040
161948,25.3,10.3,51.3,1180,1180
162978,25.3,10.3,51.3,1040,1030
164168,25.3,10.3,51.3,1180,1190
165228,25.3,10.3,51.3,1060,1060
166448,25.3,10.3,51.3,1180,1220
167508,25.3,10.3,51.3,1060,1060
168718,25.3,10.3,51.3,1190,1210
169838,25.3,10.3,51.3,1120,1120
170908,25.3,10.3,51.3,1120,1070
172098,25.3,10.3,51.3,1120,1190
173228,25.3,10.3,51.3,1130,1130
174298,25.3,10.3,51.3,1120,1070
175478,25.3,10.3,51.3,1130,1180
176608,25.3,10.3,51.3,1130,1130
177678,25.3,10.3,51.3,1130,1070
178848,25.3,10.3,51.3,1130,1170
179968,25.3,10.3,51.3,1130,1120
181078,25.3,10.3,51.3,1120,1110
182148,25.3,10.3,51.3,1110,1070
183308,25.3,10.3,51.3,1120,1160
184448,25.3,10.3,51.3,1120,1140
185558,25.3,10.3,51.3,1110,1110
186618,25.3,10.3,51.3,1110,1060
187738,25.3,10.3,51.3,1120,1120
188858,25.3,10.3,51.3,1120,1120
190028,25.3,10.3,51.3,1120,1170
191108,25.3,10.3,51.3,1120,1080
192238,25.3,10.3,51.3,1120,1130
193398,25.3,10.3,51.3,1130,1160
194448,25.3,10.3,51.3,1130,1050
195618,25.3,10.3,51.3,1130,1170
196808,25.3,10.3,51.3,1160,1190
197888,25.3,10.3,51.3,1160,1080
199088,25.3,10.3,51.3,1170,1200
200148,25.3,10.3,51.3,1170,1060
201318,25.3,10.3,51.3,1170,1170
202468,25.3,10.3,51.3,1150,1150
203608,25.3,10.3,51.3,1150,1140
204748,25.3,10.3,51.3,1140,1140
205968,25.3,10.3,51.3,1150,1220
207028,25.3,10.3,51.3,1140,1060
208178,25.3,10.3,51.3,1140,1150
209318,25.3,10.3,51.3,1140,1140
210508,25.3,10.3,51.3,1150,1190
211578,25.3,10.3,51.3,1140,1070
212788,25.3,10.3,51.3,1150,1210
213858,25.3,10.3,51.3,1140,1070
215068,25.3,10.3,51.3,1190,1210
216138,25.3,10.3,51.3,1070,1070
217298,25.3,10.3,51.3,1160,1160
218418,25.3,10.3,51.3,1120,1120
219588,25.3,10.3,51.3,1160,1170
220728,25.3,10.3,51.3,1140,1140
221928,25.3,10.3,51.3,1160,1200
223038,25.3,10.3,51.3,1140,1110
224208,25.3,10.3,51.3,1170,1170
225408,25.3,10.3,51.3,1170,1200
226498,25.3,10.3,51.3,1170,1090
