state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
203886,48.3,0.225,max,A,1,1090,1090
205026,48.3,0.225,max,A,2,1090,1140
206056,48.3,0.225,max,A,3,1090,1030
207156,48.3,0.225,max,A,4,1090,1100
208246,51.3,0.225,max,B,1,1090,1090
209376,51.3,0.225,max,B,2,1100,1130
210406,51.3,0.225,max,B,3,1090,1030
211506,51.3,0.225,max,B,4,1100,1100
212586,51.3,0.225,max,B,5,1090,1080
224566,51.3,0.225,max,A,1,1070,1090
225566,51.3,0.225,max,A,1,1070,1010
226696,51.3,0.225,max,A,2,1090,1130
227706,51.3,0.225,max,A,3,1090,1010
228776,51.3,0.225,max,A,4,1070,1070
229856,47.3,0.225,max,B,1,1070,1080
230976,47.3,0.225,max,B,2,1080,1120
232006,47.3,0.225,max,B,3,1070,1030
233096,47.3,0.225,max,B,4,1080,1090
234176,47.3,0.225,max,B,5,1080,1080
245026,48.3,0.225,max,A,1,1070,1140
246076,48.3,0.225,max,A,1,1070,1060
247136,48.3,0.225,max,A,2,1070,1060
248206,48.3,0.225,max,A,3,1070,1070
249276,48.3,0.225,max,A,4,1070,1070
250306,51.3,0.225,max,B,1,1060,1030
251386,51.3,0.225,max,B,2,1070,1080
252446,51.3,0.225,max,B,3,1070,1060
253516,51.3,0.225,max,B,4,1070,1070
254576,51.3,0.225,max,B,5,1060,1060
265366,51.3,0.225,max,A,1,1080,1100
266466,51.3,0.225,max,A,1,1100,1110
267546,51.3,0.225,max,A,2,1100,1080
268646,51.3,0.225,max,A,3,1100,1100
269736,51.3,0.225,max,A,4,1100,1090
270836,47.3,0.225,max,B,1,1100,1100
271976,47.3,0.225,max,B,2,1100,1140
273016,47.3,0.225,max,B,3,1100,1040
274116,47.3,0.225,max,B,4,1100,1100
275226,47.3,0.225,max,B,5,1100,1110
287346,51.3,0.225,max,A,1,1100,1040
288486,51.3,0.225,max,A,1,1100,1150
289516,51.3,0.225,max,A,2,1100,1030
290606,51.3,0.225,max,A,3,1090,1090
291686,51.3,0.225,max,A,4,1080,1080
292746,51.3,0.225,max,B,1,1080,1060
293876,51.3,0.225,max,B,2,1080,1130
294906,51.3,0.225,max,B,3,1080,1030
295986,51.3,0.225,max,B,4,1080,1080
297126,51.3,0.225,max,B,5,1080,1140
309126,51.3,0.225,max,A,1,1100,1100
310206,51.3,0.225,max,A,1,1100,1090
311296,51.3,0.225,max,A,2,1090,1090
312416,51.3,0.225,max,A,3,1100,1120
313516,51.3,0.225,max,A,4,1100,1100
314606,51.3,0.225,max,B,1,1090,1090
315776,51.3,0.225,max,B,2,1100,1170
316816,51.3,0.225,max,B,3,1100,1040
317926,51.3,0.225,max,B,4,1100,1110
319026,51.3,0.225,max,B,5,1100,1100
331246,51.3,0.225,max,A,1,1110,1120
332336,51.3,0.225,max,A,1,1110,1100
333446,51.3,0.225,max,A,2,1110,1110
334556,51.3,0.225,max,A,3,1110,1110
335666,51.3,0.225,max,A,4,1110,1110
336786,46.3,0.225,max,B,1,1110,1120
337956,46.3,0.225,max,B,2,1110,1170
339016,46.3,0.225,max,B,3,1110,1060
340136,46.3,0.225,max,B,4,1120,1120
341216,46.3,0.225,max,B,5,1120,1080
353556,47.3,0.225,max,A,1,1100,1100
354646,47.3,0.225,max,A,1,1100,1100
355816,47.3,0.225,max,A,2,1100,1170
356876,47.3,0.225,max,A,3,1100,1060
357996,47.3,0.225,max,A,4,1100,1120
359096,51.3,0.225,max,B,1,1100,1100
360196,51.3,0.225,max,B,2,1100,1100
361306,51.3,0.225,max,B,3,1100,1110
362416,51.3,0.225,max,B,4,1110,1110
363516,51.3,0.225,max,B,5,1100,1100
374706,51.3,0.225,max,A,1,1120,1110
375816,51.3,0.225,max,A,1,1120,1120
376946,51.3,0.225,max,A,2,1120,1130
378116,51.3,0.225,max,A,3,1120,1170
379196,51.3,0.225,max,A,4,1120,1080
380286,48.3,0.225,max,B,1,1120,1090
381386,48.3,0.225,max,B,2,1100,1100
382566,48.3,0.225,max,B,3,1100,1180
383616,48.3,0.225,max,B,4,1090,1050
384736,48.3,0.225,max,B,5,1100,1120
395906,51.3,0.225,max,A,1,1120,1120
397006,51.3,0.225,max,A,1,1110,1110
398116,51.3,0.225,max,A,2,1110,1110
399276,51.3,0.225,max,A,3,1110,1160
400306,51.3,0.225,max,A,4,1110,1030
401436,51.3,0.225,max,B,1,1110,1130
402586,51.3,0.225,max,B,2,1130,1150
403616,51.3,0.225,max,B,3,1130,1030
404736,51.3,0.225,max,B,4,1120,1120
405906,51.3,0.225,max,B,5,1130,1170
418106,51.3,0.225,max,A,1,1120,1100
419226,51.3,0.225,max,A,1,1120,1130
420416,51.3,0.225,max,A,2,1130,1190
421456,51.3,0.225,max,A,3,1130,1040
422656,51.3,0.225,max,A,4,1130,1200
423706,51.3,0.225,max,B,1,1130,1050
424806,51.3,0.225,max,B,2,1100,1100
425936,51.3,0.225,max,B,3,1100,1130
427046,51.3,0.225,max,B,4,1110,1110
428166,51.3,0.225,max,B,5,1110,1120
441806,51.3,0.225,max,A,1,1130,1140
442896,51.3,0.225,max,A,1,1120,1100
444026,51.3,0.225,max,A,2,1130,1130
445156,51.3,0.225,max,A,3,1130,1130
