state_time,t_peak,peak_tn,experiment_type,trial_phase,stride_in_condition,est_stride_dur,actual_stride_dur
185235,48.3,0.225,max,A,0,1090,1090
186265,48.3,0.225,max,A,0,1090,1030
187415,48.3,0.225,max,A,0,1090,1150
188495,48.3,0.225,max,A,0,1090,1080
189545,48.3,0.225,max,A,0,1080,1050
190625,51.3,0.225,max,B,0,1080,1080
191705,51.3,0.225,max,B,0,1080,1080
192855,51.3,0.225,max,B,0,1080,1150
193865,51.3,0.225,max,B,0,1080,1010
194965,51.3,0.225,max,B,0,1080,1100
196055,51.3,0.225,max,B,0,1090,1090
197245,51.3,0.225,max,B,0,1100,1190
206415,51.3,0.225,max,A,0,1050,1000
206875,51.3,0.225,max,A,0,1050,1050
207935,51.3,0.225,max,A,0,1060,1060
209075,51.3,0.225,max,A,0,1060,1140
210135,51.3,0.225,max,A,0,1060,1060
211155,51.3,0.225,max,A,0,1060,1020
212225,47.3,0.225,max,B,0,1060,1070
213325,47.3,0.225,max,B,0,1070,1100
214405,47.3,0.225,max,B,0,1070,1080
215495,47.3,0.225,max,B,0,1080,1090
216605,47.3,0.225,max,B,0,1090,1110
217715,51.3,0.225,max,B,0,1100,1110
226875,51.3,0.225,max,A,0,1070,1070
227395,48.3,0.225,max,A,0,1090,1090
228445,48.3,0.225,max,A,0,1070,1050
229515,48.3,0.225,max,A,0,1070,1070
230585,48.3,0.225,max,A,0,1070,1070
231665,48.3,0.225,max,A,0,1070,1080
232685,51.3,0.225,max,B,0,1070,1020
233745,51.3,0.225,max,B,0,1070,1060
234885,51.3,0.225,max,B,0,1070,1140
235885,51.3,0.225,max,B,0,1060,1000
236955,51.3,0.225,max,B,0,1060,1070
238075,51.3,0.225,max,B,0,1070,1120
239075,51.3,0.225,max,B,0,1070,1000
247215,51.3,0.225,max,A,0,1080,1100
247745,51.3,0.225,max,A,0,1100,1100
248885,51.3,0.225,max,A,0,1100,1140
249925,51.3,0.225,max,A,0,1100,1040
251015,51.3,0.225,max,A,0,1100,1090
252105,51.3,0.225,max,A,0,1090,1090
253195,47.3,0.225,max,B,0,1090,1090
254305,47.3,0.225,max,B,0,1090,1110
255405,47.3,0.225,max,B,0,1090,1100
256505,47.3,0.225,max,B,0,1100,1100
257665,47.3,0.225,max,B,0,1100,1160
258705,51.3,0.225,max,B,0,1100,1040
259835,51.3,0.225,max,B,0,1100,1130
269195,51.3,0.225,max,A,0,1090,1090
269725,51.3,0.225,max,A,0,1090,1090
270805,51.3,0.225,max,A,0,1090,1080
271905,51.3,0.225,max,A,0,1090,1100
272965,51.3,0.225,max,A,0,1090,1060
274115,51.3,0.225,max,A,0,1090,1150
275135,51.3,0.225,max,B,0,1080,1020
276265,51.3,0.225,max,B,0,1100,1130
277335,51.3,0.225,max,B,0,1070,1070
278435,51.3,0.225,max,B,0,1100,1100
279525,51.3,0.225,max,B,0,1090,1090
280545,51.3,0.225,max,B,0,1090,1020
281705,51.3,0.225,max,B,0,1090,1160
290975,51.3,0.225,max,A,0,1120,1150
291485,51.3,0.225,max,A,0,1120,1030
292635,51.3,0.225,max,A,0,1120,1150
293675,51.3,0.225,max,A,0,1120,1040
294795,51.3,0.225,max,A,0,1120,1120
295885,51.3,0.225,max,A,0,1090,1090
297015,51.3,0.225,max,B,0,1120,1130
298155,51.3,0.225,max,B,0,1120,1140
299205,51.3,0.225,max,B,0,1120,1050
300315,51.3,0.225,max,B,0,1110,1110
301485,51.3,0.225,max,B,0,1130,1170
302515,51.3,0.225,max,B,0,1110,1030
303695,51.3,0.225,max,B,0,1110,1180
313095,51.3,0.225,max,A,0,1110,1110
313615,51.3,0.225,max,A,0,1110,1110
314725,51.3,0.225,max,A,0,1110,1110
315845,51.3,0.225,max,A,0,1110,1120
316945,51.3,0.225,max,A,0,1110,1100
318065,51.3,0.225,max,A,0,1110,1120
319165,46.3,0.225,max,B,0,1110,1100
320295,46.3,0.225,max,B,0,1120,1130
321485,46.3,0.225,max,B,0,1120,1190
322585,46.3,0.225,max,B,0,1120,1100
323625,46.3,0.225,max,B,0,1100,1040
324765,51.3,0.225,max,B,0,1130,1140
325865,51.3,0.225,max,B,0,1100,1100
335405,51.3,0.225,max,A,0,1100,1100
336005,47.3,0.225,max,A,0,1160,1160
337055,47.3,0.225,max,A,0,1100,1050
338225,47.3,0.225,max,A,0,1160,1170
339275,47.3,0.225,max,A,0,1100,1050
340385,47.3,0.225,max,A,0,1110,1110
341555,51.3,0.225,max,B,0,1110,1170
342645,51.3,0.225,max,B,0,1110,1090
343705,51.3,0.225,max,B,0,1090,1060
344805,51.3,0.225,max,B,0,1100,1100
345905,51.3,0.225,max,B,0,1100,1100
347045,51.3,0.225,max,B,0,1100,1140
348165,51.3,0.225,max,B,0,1100,1120
356555,51.3,0.225,max,A,0,1130,1170
357175,51.3,0.225,max,A,0,1130,1130
358225,51.3,0.225,max,A,0,1130,1050
359365,51.3,0.225,max,A,0,1140,1140
360525,51.3,0.225,max,A,0,1140,1160
361565,51.3,0.225,max,A,0,1130,1040
362685,48.3,0.225,max,B,0,1120,1120
363785,48.3,0.225,max,B,0,1120,1100
364915,48.3,0.225,max,B,0,1120,1130
366085,48.3,0.225,max,B,0,1120,1170
367115,48.3,0.225,max,B,0,1120,1030
368235,51.3,0.225,max,B,0,1120,1120
369375,51.3,0.225,max,B,0,1130,1140
377755,51.3,0.225,max,A,0,1130,1150
378285,51.3,0.225,max,A,0,1130,1060
379415,51.3,0.225,max,A,0,1130,1130
380525,51.3,0.225,max,A,0,1130,1110
381675,51.3,0.225,max,A,0,1130,1150
382775,51.3,0.225,max,A,0,1110,1100
383805,51.3,0.225,max,B,0,1110,1030
384915,51.3,0.225,max,B,0,1110,1110
386015,51.3,0.225,max,B,0,1100,1100
387125,51.3,0.225,max,B,0,1100,1110
388305,51.3,0.225,max,B,0,1110,1180
389335,51.3,0.225,max,B,0,1110,1030
390455,51.3,0.225,max,B,0,1110,1120
399955,51.3,0.225,max,A,0,1120,1140
400585,51.3,0.225,max,A,0,1130,1180
401645,51.3,0.225,max,A,0,1130,1060
402745,51.3,0.225,max,A,0,1100,1100
403875,51.3,0.225,max,A,0,1130,1130
405045,51.3,0.225,max,A,0,1130,1170
406085,51.3,0.225,max,B,0,1100,1040
407285,51.3,0.225,max,B,0,1130,1200
408315,51.3,0.225,max,B,0,1130,1030
409445,51.3,0.225,max,B,0,1130,1130
410545,51.3,0.225,max,B,0,1100,1100
411675,51.3,0.225,max,B,0,1130,1130
412895,51.3,0.225,max,B,0,1130,1220
413975,51.3,0.225,max,B,0,1130,1080
415165,51.3,0.225,max,B,0,1130,1190
423655,51.3,0.225,max,A,0,1120,1190
424185,51.3,0.225,max,A,0,1120,1060
425305,51.3,0.225,max,A,0,1120,1120
426455,51.3,0.225,max,A,0,1120,1150
427565,51.3,0.225,max,A,0,1120,1110
428685,51.3,0.225,max,A,0,1120,1120
429815,49.3,0.225,max,B,0,1120,1130
430935,49.3,0.225,max,B,0,1120,1120
432065,49.3,0.225,max,B,0,1120,1130
433175,49.3,0.225,max,B,0,1120,1110
434305,49.3,0.225,max,B,0,1130,1130
435455,51.3,0.225,max,B,0,1130,1150
436595,51.3,0.225,max,B,0,1130,1140
445075,51.3,0.225,max,A,0,1110,1110
445625,48.3,0.225,max,A,0,1110,1140
446825,48.3,0.225,max,A,0,1140,1200
448015,48.3,0.225,max,A,0,1150,1190
449065,48.3,0.225,max,A,0,1140,1050
450205,48.3,0.225,max,A,0,1140,1140
451435,51.3,0.225,max,B,0,1190,1230
452505,51.3,0.225,max,B,0,1140,1070
453665,51.3,0.225,max,B,0,1140,1160
454775,51.3,0.225,max,B,0,1140,1110
455995,51.3,0.225,max,B,0,1160,1220
457045,51.3,0.225,max,B,0,1110,1050
458215,51.3,0.225,max,B,0,1160,1170
459365,51.3,0.225,max,B,0,1150,1150
469165,51.3,0.225,max,A,0,1150,1160
469695,47.3,0.225,max,A,0,1150,1130
470835,47.3,0.225,max,A,0,1140,1140
471995,47.3,0.225,max,A,0,1150,1160
473195,47.3,0.225,max,A,0,1160,1200
474245,47.3,0.225,max,A,0,1140,1050
475405,51.3,0.225,max,B,0,1160,1160
476645,51.3,0.225,max,B,0,1160,1240
477715,51.3,0.225,max,B,0,1160,1070
478855,51.3,0.225,max,B,0,1140,1140
480035,51.3,0.225,max,B,0,1160,1180
481185,51.3,0.225,max,B,0,1150,1150
489875,51.3,0.225,max,A,0,1180,1180
