Trial #,Sweep #,Delta,Approach,Experiment Type,Reference t_peak,Comparison t_peak,Reference peak_tn,Comparison peak_tn,Staircase Var,Reference Value,Comparison Value,t_rise_comp,t_fall_comp,Phase Order,Is Reversal,Response,Catch Trial
1,0,1.0,from_below,max,51.3,48.3,0.225,0.225,t_peak,51.3,48.3,22.299999999999997,13.300000000000004,comp_first,No,Same,No
2,0,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,ref_first,Yes,Different,No
3,0,1.0,from_below,max,51.3,48.3,0.225,0.225,t_peak,51.3,48.3,22.299999999999997,13.300000000000004,comp_first,No,Same,No
4,0,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,ref_first,No,Same,No
5,0,1.0,from_below,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
6,0,1.0,from_below,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Different,Yes
7,0,1.0,from_below,max,51.3,46.3,0.225,0.225,t_peak,51.3,46.3,20.299999999999997,15.300000000000004,ref_first,Yes,Different,No
8,0,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,comp_first,No,Different,No
9,0,1.0,from_below,max,51.3,48.3,0.225,0.225,t_peak,51.3,48.3,22.299999999999997,13.300000000000004,ref_first,No,Different,No
10,0,1.0,from_below,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,comp_first,No,Same,Yes
11,0,1.0,from_below,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,comp_first,No,Same,Yes
12,1,1.0,from_below,max,51.3,49.3,0.225,0.225,t_peak,51.3,49.3,23.299999999999997,12.300000000000004,ref_first,Yes,Same,No
13,1,1.0,from_below,max,51.3,48.3,0.225,0.225,t_peak,51.3,48.3,22.299999999999997,13.300000000000004,comp_first,No,Same,No
14,1,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,comp_first,Yes,Different,No
15,2,1.0,from_below,max,51.3,48.3,0.225,0.225,t_peak,51.3,48.3,22.299999999999997,13.300000000000004,comp_first,Yes,Same,No
16,2,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,comp_first,No,Same,No
17,2,1.0,from_below,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
18,2,1.0,from_below,max,51.3,46.3,0.225,0.225,t_peak,51.3,46.3,20.299999999999997,15.300000000000004,ref_first,Yes,Different,No
19,3,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,ref_first,Yes,Same,No
20,3,1.0,from_below,max,51.3,51.3,0.225,0.225,t_peak,51.3,51.3,25.299999999999997,10.300000000000004,ref_first,No,Same,Yes
21,3,1.0,from_below,max,51.3,46.3,0.225,0.225,t_peak,51.3,46.3,20.299999999999997,15.300000000000004,ref_first,Yes,Different,No
22,4,1.0,from_below,max,51.3,47.3,0.225,0.225,t_peak,51.3,47.3,21.299999999999997,14.300000000000004,ref_first,Yes,Same,No
